run_accession	study_accession	sample_accession	experiment_accession	scientific_name	library_strategy	library_layout	fastq_ftp	submitted_ftp
SRR1959019	PRJNA280609	SAMN03465474	SRX2421068	Vaccinia virus WR	RNA-Seq	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR1959019/SRR1959019.fastq.gz	
SRR1959020	PRJNA280609	SAMN03465474	SRX2421074	Vaccinia virus WR	RNA-Seq	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/000/SRR1959020/SRR1959020.fastq.gz	
SRR1959022	PRJNA280609	SAMN03465474	SRX2421123	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/002/SRR1959022/SRR1959022.fastq.gz	
SRR1959026	PRJNA280609	SAMN03465474	SRX2421180	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/006/SRR1959026/SRR1959026.fastq.gz	
SRR1959025	PRJNA280609	SAMN03465474	SRX2421179	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/005/SRR1959025/SRR1959025.fastq.gz	
SRR1959028	PRJNA280609	SAMN03465474	SRX2421191	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1959028/SRR1959028.fastq.gz	
SRR1959027	PRJNA280609	SAMN03465474	SRX2421183	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/007/SRR1959027/SRR1959027.fastq.gz	
SRR1959030	PRJNA280609	SAMN03465474	SRX2421196	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/000/SRR1959030/SRR1959030.fastq.gz	
SRR1959029	PRJNA280609	SAMN03465474	SRX2421192	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR1959029/SRR1959029.fastq.gz	
SRR1959031	PRJNA280609	SAMN03465474	SRX2421201	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR1959031/SRR1959031.fastq.gz	
SRR1959032	PRJNA280609	SAMN03465474	SRX982631	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/002/SRR1959032/SRR1959032.fastq.gz	
SRR1959018	PRJNA280609	SAMN03465474	SRX2421066	Vaccinia virus WR	RNA-Seq	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1959018/SRR1959018.fastq.gz	
SRR1959021	PRJNA280609	SAMN03465474	SRX2421081	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR1959021/SRR1959021.fastq.gz	
SRR1959023	PRJNA280609	SAMN03465474	SRX2421177	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/003/SRR1959023/SRR1959023.fastq.gz	
SRR1959024	PRJNA280609	SAMN03465474	SRX2421178	Vaccinia virus WR	OTHER	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/004/SRR1959024/SRR1959024.fastq.gz	
