gene_id,gene_symbol,total_count
ENSG00000000003.15,TSPAN6,49
ENSG00000000005.6,TNMD,13
ENSG00000000419.14,DPM1,2240
ENSG00000000457.14,SCYL3,755
ENSG00000000460.17,C1orf112,1265
ENSG00000000971.16,CFH,38
ENSG00000001036.14,FUCA2,86
ENSG00000001084.13,GCLC,2296
ENSG00000001167.15,NFYA,1017
ENSG00000001460.18,STPG1,866
ENSG00000001461.17,NIPAL3,2054
ENSG00000001497.18,LAS1L,3701
ENSG00000001561.7,ENPP4,458
ENSG00000001617.12,SEMA3F,451
ENSG00000001626.17,CFTR,44
ENSG00000001629.10,ANKIB1,1844
ENSG00000001630.18,CYP51A1,273
ENSG00000001631.17,KRIT1,335
ENSG00000002016.18,RAD52,356
ENSG00000002079.14,MYH16,13
ENSG00000002330.14,BAD,962
ENSG00000002549.13,LAP3,6275
ENSG00000002586.20,CD99,4353
ENSG00000002587.10,HS3ST1,27
ENSG00000002746.15,HECW1,22
ENSG00000002822.16,MAD1L1,12
ENSG00000002834.18,LASP1,3591
ENSG00000002919.15,SNX11,675
ENSG00000003056.8,M6PR,2833
ENSG00000003096.14,KLHL13,1487
ENSG00000003137.9,CYP26B1,1018
ENSG00000003147.19,ICA1,160
ENSG00000003249.15,DBNDD1,1306
ENSG00000003393.16,ALS2,1575
ENSG00000003400.15,CASP10,16
ENSG00000003402.21,CFLAR,1466
ENSG00000003436.16,TFPI,11
ENSG00000003509.16,NDUFAF7,1006
ENSG00000003756.17,RBM5,3942
ENSG00000003987.14,MTMR7,725
ENSG00000003989.18,SLC7A2,2398
ENSG00000004059.11,ARF5,2887
ENSG00000004139.14,SARM1,1298
ENSG00000004142.12,POLDIP2,5217
ENSG00000004399.13,PLXND1,2846
ENSG00000004455.17,AK2,8019
ENSG00000004468.13,CD38,11
ENSG00000004478.8,FKBP4,12896
ENSG00000004487.18,KDM1A,9575
ENSG00000004534.15,RBM6,2662
ENSG00000004660.15,CAMKK1,371
ENSG00000004700.16,RECQL,2437
ENSG00000004766.17,VPS50,655
ENSG00000004776.13,HSPB6,116
ENSG00000004777.19,ARHGAP33,812
ENSG00000004779.10,NDUFAB1,2992
ENSG00000004838.14,ZMYND10,49
ENSG00000004848.8,ARX,795
ENSG00000004864.14,SLC25A13,1405
ENSG00000004866.22,ST7,550
ENSG00000004897.12,CDC27,3559
ENSG00000004961.15,HCCS,1043
ENSG00000004975.12,DVL2,2292
ENSG00000005007.13,UPF1,4598
ENSG00000005020.13,SKAP2,1533
ENSG00000005022.6,SLC25A5,22806
ENSG00000005059.16,MCUB,1536
ENSG00000005073.6,HOXA11,995
ENSG00000005075.16,POLR2J,1226
ENSG00000005100.13,DHX33,2746
ENSG00000005108.17,THSD7A,43
ENSG00000005156.12,LIG3,2902
ENSG00000005175.10,RPAP3,2029
ENSG00000005187.12,ACSM3,412
ENSG00000005189.20,REXO5,1009
ENSG00000005194.15,CIAPIN1,1728
ENSG00000005206.17,SPPL2B,948
ENSG00000005238.20,FAM214B,217
ENSG00000005249.13,PRKAR2B,1014
ENSG00000005302.19,MSL3,1169
ENSG00000005339.15,CREBBP,4894
ENSG00000005436.14,GCFC2,1919
ENSG00000005448.17,WDR54,1179
