gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,is_translation_factor
DDX21,DDX21,999.59664469496,1.60034900702669,0.231825017366628,6.9032627505243,5.082150215407299e-12,5.21123683087864e-08,True,True
HSPH1,HSPH1,776.317996190779,0.984101379113039,0.159295814732658,6.17782319494478,6.49914365603721e-10,3.33211095245028e-06,True,False
SESN2,SESN2,181.101269033443,-1.34686739837698,0.220382723890185,-6.11149265515076,9.87035460090807e-10,3.37368720259038e-06,True,False
BMF,BMF,357.117727904596,-2.14085662892184,0.35442529973284,-6.04036063603695,1.5377014921924902e-09,3.94189777523544e-06,True,False
ASAP3,ASAP3,211.985544675284,-1.23832619283345,0.206878966049436,-5.985752038888,2.15392298599619e-09,4.41726525968099e-06,True,False
SLC38A1,SLC38A1,684.930317563238,0.81545064580392,0.153003541695614,5.32961941120411,9.84187928199244e-08,0.0001681977169292,True,False
LARP4,LARP4,522.201500122654,0.938396538655619,0.182426413362951,5.14397296617684,2.68988258552829e-07,0.0003447757004,True,False
NOP58,NOP58,768.261576433449,1.03417157875975,0.200519035070772,5.1574733460828,2.50304467008894e-07,0.0003447757004,True,False
FOSL1,FOSL1,181.075460170618,2.15553600666549,0.438100979658689,4.92018074998326,8.64643260811616e-07,0.0009851168884847,True,False
PUM3,PUM3,444.830948290252,1.02871135041447,0.211691142674068,4.85949169823477,1.17687516754257e-06,0.0011037884335541,True,False
LYAR,LYAR,325.071849596868,1.1730691285421,0.241457640983953,4.8582812445354,1.18409135645561e-06,0.0011037884335541,True,False
DICER1,DICER1,851.497396052118,0.850584505079187,0.177570562768305,4.7901211316711,1.66680660868966e-06,0.0013929928837507,True,False
UBALD2,UBALD2,162.464825809439,-1.45388661426029,0.304255537340619,-4.77850502563782,1.76603349802615e-06,0.0013929928837507,True,False
RERE,RERE,1045.94078172815,-0.585679587198188,0.123329416867543,-4.74890421177629,2.04521776862684e-06,0.0014979759285356,True,False
RIOK1,RIOK1,250.60578427099,1.03501436689765,0.219102623344811,4.72387939084054,2.31387676861258e-06,0.0015817661590235,True,False
LOC119626805,LOC119626805,245.153915833224,-1.65826092888205,0.353052153584197,-4.69692908553972,2.64102091788049e-06,0.0016925642807466,True,False
JPH1,JPH1,145.708476470077,1.5197605137683,0.328837593440773,4.6216142682057,3.80765505891414e-06,0.0021036676634871,True,False
THRA,THRA,229.977879276919,-0.924834638578056,0.200321568732379,-4.61675018037422,3.8979603672962e-06,0.0021036676634871,True,False
NPTX1,NPTX1,1023.75522796834,1.74664499022579,0.377875572288005,4.62227547456958,3.79553522725732e-06,0.0021036676634871,True,False
RPF2,RPF2,174.69001504482,1.27232839331778,0.281143362619379,4.52555017292122,6.02385875118978e-06,0.003088432381735,True,False
TCERG1,TCERG1,1181.89183898005,0.563661657925101,0.12498702202595,4.50976148394088,6.49005538127479e-06,0.0031690013275996,True,False
ARL4C,ARL4C,930.649822288712,1.46902848951917,0.328081356784581,4.47763476692686,7.54745819782215e-06,0.0032379511540725,True,False
LOC119627989,LOC119627989,158.283346331478,1.55367970019784,0.347054828269551,4.47675575627239,7.57858666839681e-06,0.0032379511540725,True,False
TSC22D3,TSC22D3,239.551884382542,-1.02386272119875,0.228093874207963,-4.48877781025039,7.16329629416174e-06,0.0032379511540725,True,False
NAV3,NAV3,657.63953943163,1.32996749836652,0.298821776173621,4.45070474915383,8.55889467811193e-06,0.0035105162411743,True,False
LOC103244328,LOC103244328,394.649917434538,-1.03799545840571,0.234258574189117,-4.43098171325732,9.38050449120671e-06,0.0035625071501049,True,False
NSUN2,NSUN2,495.362719653533,0.89870264779171,0.202742019007751,4.4327399529219,9.30430616455493e-06,0.0035625071501049,True,False
LARP1B,LARP1B,311.496426629833,0.950678540721054,0.215899333616783,4.40334170928239,1.06596067076313e-05,0.0039037002564304,True,False
DGKH,DGKH,305.033848241475,0.808422999824571,0.183977942525866,4.39413001757487,1.11217241190377e-05,0.0039324882454004,True,False
CDC42EP3,CDC42EP3,1473.77981472392,1.18267772861026,0.270946518258749,4.36498588802984,1.27130965586119e-05,0.0043453364037335,True,False
TASOR2,TASOR2,618.684828129708,1.35064107543375,0.313475007113219,4.30860848484144,1.64284889414957e-05,0.0054341201808418,True,False
SLC16A1,SLC16A1,393.1102628875,0.927422602777389,0.215839411891655,4.29681768797132,1.73267583202063e-05,0.0055521431192311,True,False
YPEL3,YPEL3,135.790853980615,-1.21649935179955,0.286361353121677,-4.24812684581304,2.15565336448618e-05,0.0066982029089216,True,False
UGGT2,UGGT2,477.819401131687,0.854037679307225,0.202319022636218,4.22124261070021,2.42959269280929e-05,0.0071540196847222,True,False
CALCOCO2,CALCOCO2,772.609399792621,-0.692966606613535,0.164206001575713,-4.2201052334498,2.44188305993055e-05,0.0071540196847222,True,False
ZMYM3,ZMYM3,322.305476914179,-0.851194953875825,0.202532725489928,-4.20275267523695,2.63688648074956e-05,0.00744588132891,True,False
SETX,SETX,1190.83250525324,0.639356296921534,0.152281600868774,4.19851310515502,2.68673307167615e-05,0.00744588132891,True,False
CDCA7,CDCA7,292.380682322311,1.37205311237202,0.332133082331688,4.13103417082015,3.61134889618725e-05,0.009495069636283,True,False
LOC103221970,LOC103221970,572.079735848417,-1.03929243724573,0.251364163753745,-4.13460861614267,3.5556006279337e-05,0.009495069636283,True,False
ZNF618,ZNF618,789.927130340263,-0.840857540100269,0.203888274790822,-4.12410934843087,3.7217206494525e-05,0.0095406308848714,True,False
LOC103247796,LOC103247796,480.198735650662,-0.910106549741515,0.221488441278341,-4.10904760758057,3.97294175808041e-05,0.0099362304359406,True,False
LOC103214657,LOC103214657,104.054408404151,1.34783624122988,0.331751248015779,4.06279177332822,4.84892809854195e-05,0.0115630020284765,True,False
LOC119627990,LOC119627990,200.410600514958,1.55952416688264,0.383394526348185,4.06767457463996,4.74846321479037e-05,0.0115630020284765,True,False
LOC103221993,LOC103221993,203.57691378494,-1.15677849548664,0.285359419391188,-4.05375963391927,5.04010039811868e-05,0.0117457248823429,True,False
WDR36,WDR36,314.932757692986,0.938255848228398,0.232445090526997,4.0364623150405,5.42632371300859e-05,0.0123647829673756,True,False
ABCE1,ABCE1,572.53502722615,1.02233994568608,0.25548509569613,4.0015639382034,6.29251860471986e-05,0.0136194596127992,True,False
HEATR1,HEATR1,775.953462595231,0.580964507003476,0.145296809809094,3.99846705352174,6.37540531904e-05,0.0136194596127992,True,False
