gene_symbol,NTC,N4BP1,ZC3H12A,TRIM25,ZC3H12A_N4BP1,mean_log2FoldChange,direction_consistency
RPL10AP1,,4.231651024332351,,,,4.231651024332351,1.0
RPL7P42,,,,,4.143052985289679,4.143052985289679,1.0
RPS20P4,3.3535467218386,,,,,3.3535467218386,1.0
EIF4A2P1,2.7902446934356355,,,,,2.7902446934356355,1.0
RPS15AP16,,,,,1.9823611899271507,1.9823611899271507,1.0
RPL7L1P8,,,,0.05445653694524756,3.064802681643195,1.5596296092942212,1.0
RPS2P16,2.1310159404489224,0.90610639366412,,,,1.518561167056521,1.0
EIF5A2,1.8613134736570096,1.1836255061448746,1.0645261775638661,2.6778439995009653,0.6660208006781184,1.4906659915089668,1.0
EIF5AP4,1.991790261610195,1.3388931716973707,0.9527048092518431,2.169704130059954,0.9388851798961397,1.4783955105031006,1.0
RPS12P20,2.0571199619317224,2.5071145902658665,2.017245659936943,0.2853326726810195,0.20171947196031753,1.4137064713551737,1.0
RPL39P15,,,,1.3810934230119774,,1.3810934230119774,1.0
RPL4P6,0.9953909282551185,0.6873641472521719,1.3126059505065115,2.221786794920492,0.9096319704829059,1.22535595828344,1.0
DDX21,1.9002062488729474,0.9906423909270415,0.9081324502615968,1.5199422020668159,0.4756252368447457,1.1589097057946296,1.0
RPS3P6,,0.8421349317681821,,1.4412864589302798,,1.1417106953492309,1.0
EIF5AL1,2.2432493143669423,0.8885843130294716,0.8652555902968708,1.219266991718426,0.48413115370538085,1.140097472623418,1.0
EIF5A,2.050792192913421,0.9231998118694411,0.953094673269824,1.359778972641656,0.20274930642258301,1.097922991423385,1.0
RPL7P57,2.821976565614981,,0.09972444806478918,,0.2895816302897146,1.0704275479898282,1.0
EIF1AX-AS1,0.8889807592142724,0.12950858645247346,,2.102953706555864,,1.0404810174075365,1.0
RPS6KL1,1.7350619808351893,0.5216534667814519,1.8050719773322388,0.6936928161740237,0.3840646782272498,1.0279089838700308,1.0
RPL7P46,1.1523600486990109,0.856497111117337,0.6548066078734017,1.419201256989097,0.9039488437361135,0.997362773682992,1.0
RPL11P3,1.0982600522283303,,1.1115468278484608,-0.14717583422940927,1.7272872300054287,0.9474795689632027,0.75
RPL7AP11,,1.67004764664786,0.33279707773492107,0.781544928027515,,0.9281298841367653,1.0
EIF1AX,1.4359036262702993,0.9426209250670694,0.6387386313302658,1.3099894126208318,0.2629363256737922,0.9180377841924517,1.0
EIF4EP2,0.70979275838906,0.9792263511742959,0.7709931361430509,1.7932823338899098,0.25220813277318427,0.9011005424739,1.0
EIF4A1P4,1.217773220683109,1.6729185977318,0.8971449454442166,0.7152862605979927,-0.005203198020641309,0.8995839652872952,0.8
RPS2P36,1.082586771475963,0.877168441702128,1.308236508679708,0.34182456572904196,0.8569557830788668,0.8933544141331415,1.0
EIF2S1,1.480896268478712,0.8658417671670791,0.5956379063249363,1.149805403229821,0.33856915990031344,0.8861501010201722,1.0
EIF4E,1.5953265104352379,0.7910815350915061,0.6024155108975784,1.099020177403081,0.2288138480177664,0.863331516369034,1.0
EIF4G2,1.4627704785280753,0.6632094920825643,0.6813228442291763,1.0909303143268754,0.3586514140736383,0.8513769086480659,1.0
EIF4G1,1.5555336052646838,0.63239242532563,0.873532076488816,1.0084421051922174,0.16018733979823174,0.8460175104139159,1.0
EIF2S2,1.327699369833307,0.6960668219285057,0.6325922447702588,1.0392011770158682,0.4047525414035726,0.8200624309903025,1.0
EIF2B3,1.716265973598764,0.5063347890907665,0.7032516405074938,0.8328926026534579,0.27134848545793744,0.8060186982616839,1.0
RPS12P31,2.0360975200138647,,-0.4539856635195853,,,0.7910559282471397,0.5
RPSAP12,-0.06506271013267918,1.6760835249004848,1.4072283914209085,0.3050365637909367,0.5928787667953742,0.7832329073550051,0.8
RPS26P3,0.7602866611167259,,,,,0.7602866611167259,1.0
EIF5B,1.352009421089685,0.505010360238117,0.5596295574020672,0.9180808677853193,0.26584160696862663,0.720114362696763,1.0
EIF3J,1.1623755839897933,0.6434669905618458,0.5205790962527622,0.9104471248415063,0.33303244270424653,0.7139802476700308,1.0
RPS27AP5,1.6513171869624652,1.6848943721554324,-0.794363144317628,0.22993552644971377,0.7857954553546922,0.7115158793209352,0.8
EIF6,1.3033537392843568,0.6216546709670486,0.4646286472122856,0.8099623693114605,0.2410565307412112,0.6881311915032726,1.0
DDX18,1.1880511131993017,0.5093867174900487,0.5543724832403566,0.7497758903673645,0.3593634102417976,0.6721899229077738,1.0
EIF2S2P4,1.1261419934976256,0.30134651199270557,0.2562754707457312,1.3307428235189704,0.26787363505019096,0.6564760869610448,1.0
EIF4A1P10,1.5750470941813632,0.6975355344333118,0.057528780774933605,0.585469664083006,0.29253370464344347,0.6416229556232116,1.0
DDX10,1.083990006634934,0.3765252923955505,0.7633542779457717,0.6272768460908401,0.2646778920983285,0.6231648630330849,1.0
RPL7L1,1.1577506841374112,0.39724182622628396,0.5277917824653382,0.707645523784967,0.28961339104069445,0.6160086415309389,1.0
EIF1P3,1.5633700666547317,0.7872491898088687,,-0.5127049501563814,,0.6126381021024064,0.6666666666666666
DHX9,1.1657969384099927,0.35741345247986084,0.649214127663476,0.668482142312936,0.21471129573654124,0.6111235913205614,1.0
RPS26,1.3107215149826743,0.44736747496912105,0.48018444608470573,0.801167871584209,0.008436665762196253,0.6095755946765813,1.0
RPL22L1,1.1389215800128907,0.47540983953844385,0.4569751036295265,0.6817807155407511,0.2673022252958104,0.6040778928034845,1.0
DDX41,1.0586494609376806,0.45970538925684123,0.5891011235286914,0.6395632240769136,0.22249130892941155,0.5939021013459076,1.0
EIF3B,1.0599752752507923,0.4145747903898275,0.5814848618599413,0.7664619668934051,0.14457397203635475,0.5934141732860642,1.0
EIF4HP1,1.0610987780058656,0.6067206997473745,0.5378085689484325,0.3103399388061763,0.4482568905160521,0.5928449752047802,1.0
DDX1,1.2332421294608584,0.3783150256408594,0.5258407892712794,0.5684994432339641,0.25771225985864576,0.5927219294931214,1.0
EIF4A1P2,1.3352254128540624,0.6062183468269411,0.10062361266274715,0.9530574199535974,-0.09449775291716084,0.5801254078760375,0.8
EIF4EBP1,0.795261971981008,0.6458350285542838,0.4854260582418228,0.7561271382322834,0.18780169235383878,0.5740903778726473,1.0
DDX39A,0.9285640112504514,0.4109336406040535,0.5774619039062471,0.7093719808351936,0.037598993840273126,0.5327861060872437,1.0
DHX32,0.9347896749621087,0.4442607550719993,0.37980709363742676,0.657357137344295,0.24535377249942683,0.5323136867030513,1.0
DDX56,1.0537503860885173,0.3202149630831311,0.5434687556223492,0.6158057861629229,0.1167779702577382,0.5300035722429317,1.0
RPL26P6,1.7548305818610381,0.34636856115227527,-0.14048097736039272,0.7393471512484576,-0.09613589920226433,0.5207858835398228,0.6
EIF4H,0.8973636693119134,0.4608572552255579,0.39002594864503165,0.6304481062877687,0.18126765704414932,0.5119925273028841,1.0
EIF4A3,0.8771824794253984,0.5931025331372101,0.3244222033637786,0.7395914017075077,0.021475623064639196,0.5111548481397067,1.0
EIF5,1.1428057457997534,0.2218722312305358,0.3170383265756494,0.48702357202511454,0.3352864064695589,0.5008052564201224,1.0
RPS6KA1,0.9814478383511135,0.3032315406689246,0.6335865029146804,0.42529694199976775,0.10562733465549233,0.4898380317179957,1.0
DHX15,0.9253312784770574,0.33823342351353697,0.38825182664652635,0.6233930419506584,0.16673257664036015,0.4883884294456278,1.0
EIF3C,1.0998804789658134,0.24012960190512317,0.4662569177706873,0.31637854191542164,0.2910018004520233,0.4827294682018137,1.0
RPL17P36,,0.4680315404079826,,,,0.4680315404079826,1.0
RPL7P21,1.1794083403102087,-0.4060891398252312,0.7771713564849142,0.5170574496179698,0.19649353876509898,0.45280830907059205,0.8
EIF4ENIF1,0.8246382305227715,0.2712858115748164,0.5751146707767617,0.44058441462545467,0.14690071189773343,0.45170476787950753,1.0
RPL24P8,-0.15711714385471595,-0.06381138683968676,1.3353663481654205,1.3215272332283916,-0.18839718132231553,0.4495135738754188,0.6
RPS2P32,-0.003057579287317597,1.198943378990847,1.4400961133948738,-0.17902844114057134,-0.2099208044380158,0.44940653350396326,0.6
EIF1AD,0.8568089002389547,0.3666401687843112,0.25168964337206007,0.6210594806344192,0.13301162494992785,0.44584196359593464,1.0
RPS26P13,2.2211051895724356,,0.3064699294444371,-1.355552220048369,0.603439426669192,0.4438655814094239,0.75
DDX50,0.8529886474781279,0.3163358617767394,0.2880151888355911,0.48341453130112366,0.27094643126815066,0.44234013213194656,1.0
DHX33,0.9011902509632561,0.19774280747569456,0.3916907048628299,0.31556199730333884,0.39638571007685747,0.44051429413639537,1.0
RPL5P4,-0.06023364576996783,1.755152340582771,0.9720793793971533,-0.4202796428839257,-0.05364337166062269,0.4386150119330815,0.6
EIF3A,0.7445709790898777,0.33949909360335034,0.4245337161707629,0.54922796662543,0.11654848499992777,0.4348760480978697,1.0
DDX28,0.6337229841404789,0.3098276925449561,0.39870195431873373,0.595636699985408,0.21865934217075614,0.4313097346320666,1.0
EIF1B,0.7900565502864995,0.5210502760201204,0.16213420164886186,0.5782263763781949,0.0922600287327401,0.4287454866132833,1.0
RPS19BP1,0.7026985303681764,0.4533683560198359,0.30273787525813667,0.629437432882972,-0.020117012478582937,0.4136250364101076,0.8
EIF3I,0.892765778808247,0.2682515295282897,0.28838080394243126,0.4467310741219627,0.1676413634317218,0.4127541099665305,1.0
DHX30,0.8211281496162766,0.20721824114530643,0.5257151089777798,0.433339504156201,0.07536487932429721,0.4125531766439722,1.0
