gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor,direction
LINC02384,3,6.457300410899282,1.0817647390031604,2.565359497049444,13.985249674203429,85.69921848668093,5.969228038297537,2.383787460033773e-09,3,0,1.0,7.435946683711582,0.0017634109030173,,,5.071294926586056,4.451528753351872e-44,7.556971379409271,1.5244236525684502e-37,8.32774257267989e-08,False,up
SLC1A2,3,6.29088552542964,1.7276187707769002,3.5674831262181024,3.3232672062886985,39.818260890507034,3.6413621059469414,0.0002711993730125,3,0,1.0,9.52532674527589,6.495613426633766e-05,,,4.1335297742178225,,4.83554888132185,0.0690255015033879,0.0027684726348024,False,up
FCRL5,3,6.1064436360731,1.93058302116482,8.890842567140787,10.97265299505901,81.77286750159145,3.163004941579134,0.001561496810655,3,0,1.0,,,0.5549608570424,,8.762957085401803,5.0632031231010426e-11,7.651857122442247,3.754692217343403e-12,0.0119205630612929,False,up
IL6,3,5.128857582972793,0.2658794705249524,0.1276747717485868,9.427337314260736,78.78510195053062,19.29016020998679,6.497166864543445e-83,3,0,1.0,3.776413871429522,0.0461069788620788,,,4.89398159601478,0.0,5.446250544584281,3.804528739165332e-302,1.1916345460144722e-79,False,up
IL1B,3,4.941024951652548,0.5828028273002533,0.7265446486656718,45.095355695331946,95.56495348764476,8.478038746896793,2.290217031428678e-17,3,0,1.0,,,0.766349867466184,,4.7631664183840545,0.0,5.9132430285130475,0.0,2.4830239726459988e-15,False,up
EDN1,3,4.7476111833482815,1.130788447813854,3.356648494409182,28.295673411787263,92.93178158054776,4.198496361124672,2.6869317038839805e-05,3,0,1.0,,,0.0952255666299369,0.999899862550801,6.370189904369489,1.66226068832008e-182,6.578840909085482,2.6755916233095236e-37,0.000378353677996,False,up
ADORA2A-AS1,3,4.4870018404554255,1.0034454687245498,2.8014055306081147,32.75609329827668,93.89426577281968,4.471595099391622,7.763832044539783e-06,3,0,1.0,1.9398071630678029,0.0070456833319617,,,4.999892056921828,7.186077411710809e-58,6.306261674069527,3.54026474942893e-53,0.0001290590479367,False,up
ASTL,3,4.422025647692155,1.5686293691799835,4.624915439330292,5.357089733593726,62.66629645088418,2.8190379031369353,0.0048167829925716,3,0,1.0,,,0.510983284909819,,5.820588333604804,0.0150679668354684,5.823993688921877,3.5197108868929377e-12,0.0296124516434385,False,up
GRIA4,4,4.333803387516171,1.0537113474436015,2.481580454381356,6.924999630912524,56.678698052079426,4.112894293138598,3.9072932600856486e-05,4,0,1.0,5.623752915284265,6.02540402104839e-08,1.28424507187693,,6.293226391432735,9.89717993177198e-05,3.2607150032534817,0.0576078669546525,0.0005253244799097,False,up
BIRC3,4,4.2344659934875,1.1089344328319422,4.564032475478,43.498359406227905,93.10318816398744,3.8184998753025727,0.000134265652331,4,0,1.0,3.886918280930445,9.150595453560936e-16,1.02017841456951,0.860515646338543,5.7235814400132154,1.2036951125393022e-20,6.36034467185219,1.0933154909518008e-18,0.0015185265889799,False,up
MAB21L1,3,4.194734780444875,1.0056783474652735,2.0298979790245166,6.24423623201941,67.97046226815809,4.17105010863299,3.0319917472604565e-05,3,0,1.0,2.8084711901680426,9.605394038111032e-09,,,5.430543419862601,0.0005314057069,5.258579158341626,2.0146520716676575e-05,0.0004207509859108,False,up
