gene,program,direction,pooled_log2FC,meta_FDR,degree,degree_centrality,betweenness_centrality,eigenvector_centrality,community,hub_score
DTNA,other,up,1.638,8.42981015476141e-75,89,0.3921,0.0095,0.1252,0,0.9561403508771931
DBP,other,down,-1.837,5.382297231282176e-106,82,0.3612,0.0051,0.1179,1,0.9517543859649122
BTN3A2,other,down,-2.218,1.3632936214415315e-36,99,0.4361,0.0115,0.138,1,0.9407894736842106
LARP4,other,up,1.036,2.1975238894234585e-45,82,0.3612,0.0134,0.1085,0,0.9210526315789473
DSE,other,up,1.339,2.2079549244557807e-32,84,0.37,0.0049,0.1179,0,0.9035087719298245
ABHD4,other,down,-1.042,7.997431443748948e-46,74,0.326,0.0177,0.0893,1,0.8925438596491229
IL6,Inflammatory/NF-kB,up,5.129,1.1916345460144722e-79,68,0.2996,0.0156,0.0907,0,0.8837719298245614
GALM,other,down,-1.775,5.403538617838279e-34,73,0.3216,0.0061,0.1015,1,0.875
SATB1,other,down,-0.901,2.8299105349330793e-26,79,0.348,0.0039,0.1153,1,0.8706140350877193
MACC1,other,up,3.649,6.115876849336992e-134,62,0.2731,0.003,0.0913,0,0.8662280701754386
ABTB1,other,down,-1.501,1.9424198767252068e-21,96,0.4229,0.0153,0.1296,1,0.8640350877192983
LENG9,other,up,2.001,1.116396363010542e-20,95,0.4185,0.0095,0.1354,0,0.8596491228070176
KMT5C,other,down,-0.958,4.372665532879087e-22,89,0.3921,0.0089,0.1242,1,0.8596491228070176
MAFB,other,up,1.971,6.043108196526455e-28,69,0.304,0.0044,0.1027,0,0.8486842105263158
AMD1,other,up,0.907,6.831109868888542e-43,66,0.2907,0.003,0.096,0,0.8486842105263157
ARHGAP11A,other,down,-0.998,1.1539462425378912e-21,80,0.3524,0.0052,0.1188,1,0.8421052631578947
C1ORF216,other,up,1.19,7.15923844649674e-51,63,0.2775,0.0238,0.0759,0,0.8421052631578947
PTPRC,other,up,1.4,3.4267440025198155e-25,74,0.326,0.0158,0.0969,0,0.8388157894736842
SNX29,other,down,-0.929,6.2337520441540726e-27,68,0.2996,0.0225,0.0971,1,0.8333333333333333
SIK1,other,up,3.133,8.526430232544823e-72,57,0.2511,0.0098,0.0724,0,0.8333333333333333
MCCC1,other,down,-0.681,5.417660824892802e-19,95,0.4185,0.011,0.1273,1,0.8201754385964912
TNFRSF10D,other,up,2.948,0.0,49,0.2159,0.0031,0.0732,0,0.8201754385964912
ARAP2,other,up,1.072,2.2126665381100647e-41,58,0.2555,0.0057,0.0736,0,0.8135964912280702
KBTBD8,other,up,1.657,1.9312402515496112e-19,85,0.3744,0.0097,0.1183,0,0.8114035087719298
PIK3IP1,other,down,-2.336,7.545826467983926e-22,72,0.3172,0.0172,0.1019,1,0.8114035087719298
RECQL5,other,down,-0.68,7.919163339716251e-20,80,0.3524,0.0058,0.1187,1,0.8092105263157895
APBA1,other,down,-1.17,9.895247283212932e-24,68,0.2996,0.0012,0.0921,1,0.8004385964912282
TAF13,other,up,1.231,6.409539367494917e-18,91,0.4009,0.0094,0.1308,0,0.7982456140350878
THBS1,other,up,2.899,2.1468727327807392e-64,49,0.2159,0.0041,0.0678,0,0.7982456140350878
PSMB8-AS1,other,down,-1.303,4.464829754900475e-23,66,0.2907,0.0025,0.0979,1,0.7916666666666667
