gene_symbol,direction,k_studies,pooled_log2FoldChange,I2,meta_FDR,is_translation_factor,evidence_rank
IL6,up,3,5.128857582972793,78.78510195053062,1.1916345460144722e-79,False,1
FFAR2,up,3,4.189169226710856,58.90920812108927,6.8943915144865285e-78,False,2
MACC1,up,3,3.6489818714293487,0.0,6.115876849336993e-134,False,3
MARCO,up,3,3.970047496359048,84.56242481319624,7.982255137283204e-42,False,4
TNFSF18,up,3,4.004954067347318,28.992881983964296,4.4027015270809406e-27,False,5
SIK1,up,3,3.13282579907027,0.0,8.526430232544822e-72,False,6
TNFRSF10D,up,3,2.9482730404233894,0.0,0.0,False,6
TDO2,up,3,3.8034498435826447,0.0,1.4562258391609056e-29,False,6
THBS1,up,4,2.898696453583468,0.0,2.1468727327807392e-64,False,9
CCL2,up,4,3.827261715184235,87.7659988453439,1.2996213938204093e-19,False,10
CXCL8,up,3,2.263767523299873,0.0,1.1801285362515425e-134,False,11
IL1B,up,3,4.941024951652548,95.56495348764476,2.4830239726459988e-15,False,12
BTN3A2,down,3,-2.217636110957243,55.37440243768527,1.3632936214415315e-36,False,13
ICAM1,up,4,2.391488627787378,70.46997628825562,3.2543143779134726e-24,False,14
PIK3IP1,down,4,-2.3362085411262785,66.32010491435595,7.545826467983926e-22,False,15
BTBD19,up,3,2.1248515508144266,25.704697337908193,1.180373840458642e-28,False,16
C16ORF74,down,3,-3.0147898547667915,28.835545630140036,1.4117355903707754e-14,False,17
MAFB,up,3,1.9705451944323753,68.95799312170148,6.043108196526455e-28,False,18
DBP,down,3,-1.836581861059304,0.0,5.382297231282176e-106,False,19
ASB2,up,3,2.638145148584399,0.0,3.007480028755261e-14,False,20
LENG9,up,3,2.0009848430217168,67.76896452746307,1.116396363010542e-20,False,21
NCF2,down,3,-1.7489882026873025,0.0,1.5045213552615846e-90,False,22
LILRA4,up,3,3.117783463053416,6.871881000188542,6.676099364356655e-12,False,23
GALM,down,4,-1.774604128242515,0.0,5.403538617838279e-34,False,24
AMPD3,up,4,1.7235497464034195,35.41379501162693,9.673132571929743e-38,False,25
