program,set,program_size_bg,hits_in_program,expected,fold_enrichment,p_value,FDR
Cell cycle / mitosis,reproducible (all),21,13,2.29,5.68,2.5482985339000915e-08,2.5482985339000913e-07
Inflammatory / NF-kB signaling,reproducible (all),22,13,2.4,5.43,5.605976757675429e-08,2.8029883788377147e-07
RNA helicases (DEAD/DEAH-box),reproducible (all),56,8,6.1,1.31,0.26179666465209306,0.8726555488403102
Translation initiation (eIF),reproducible (all),70,7,7.62,0.92,0.6514675119453811,1.0
Apoptosis / cell death,reproducible (all),17,1,1.85,0.54,0.8592938086094817,1.0
Ribosomal proteins (cytoplasmic),reproducible (all),189,14,20.58,0.68,0.9580431565587396,1.0
Interferon-stimulated genes (ISG),reproducible (all),40,1,4.36,0.23,0.9901240704061345,1.0
Mitochondrial ribosome,reproducible (all),82,3,8.93,0.34,0.9953218792995485,1.0
Integrated stress response / UPR,reproducible (all),21,0,2.29,0.0,1.0,1.0
Cholesterol / sterol biosynthesis,reproducible (all),18,0,1.96,0.0,1.0,1.0
Inflammatory / NF-kB signaling,reproducible up,22,13,1.14,11.43,5.593581156042213e-12,5.593581156042213e-11
RNA helicases (DEAD/DEAH-box),reproducible up,56,8,2.9,2.76,0.007773110862033137,0.03886555431016569
Translation initiation (eIF),reproducible up,70,5,3.62,1.38,0.29526954219618795,0.9842318073206265
Apoptosis / cell death,reproducible up,17,1,0.88,1.14,0.5947357665849097,1.0
Interferon-stimulated genes (ISG),reproducible up,40,1,2.07,0.48,0.8807707529471202,1.0
Mitochondrial ribosome,reproducible up,82,2,4.24,0.47,0.9301569359510935,1.0
Ribosomal proteins (cytoplasmic),reproducible up,189,0,9.77,0.0,1.0,1.0
Integrated stress response / UPR,reproducible up,21,0,1.09,0.0,1.0,1.0
Cell cycle / mitosis,reproducible up,21,0,1.09,0.0,1.0,1.0
Cholesterol / sterol biosynthesis,reproducible up,18,0,0.93,0.0,1.0,1.0
Cell cycle / mitosis,reproducible down,21,13,1.2,10.83,8.56374763653683e-12,8.56374763653683e-11
Ribosomal proteins (cytoplasmic),reproducible down,189,14,10.81,1.3,0.19420329709448123,0.9710164854724062
Translation initiation (eIF),reproducible down,70,2,4.0,0.5,0.9153777192537395,1.0
Mitochondrial ribosome,reproducible down,82,1,4.69,0.21,0.9920954329582001,1.0
RNA helicases (DEAD/DEAH-box),reproducible down,56,0,3.2,0.0,1.0,1.0
Interferon-stimulated genes (ISG),reproducible down,40,0,2.29,0.0,1.0,1.0
Inflammatory / NF-kB signaling,reproducible down,22,0,1.26,0.0,1.0,1.0
Integrated stress response / UPR,reproducible down,21,0,1.2,0.0,1.0,1.0
Cholesterol / sterol biosynthesis,reproducible down,18,0,1.03,0.0,1.0,1.0
Apoptosis / cell death,reproducible down,17,0,0.97,0.0,1.0,1.0
