gene_symbol,k_studies,pooled_log2FoldChange,I2,meta_FDR,direction_concordance,is_translation_factor
BMP6,3,-3.668790934922407,97.77004492785352,0.0055344664147872,1.0,False
IGF1,3,-3.620195317914543,71.73911236858592,0.0152365146835614,1.0,False
SPTLC3,3,-3.4860394456321853,93.98382361430524,0.0063099631391889,1.0,False
DEPTOR,4,-3.4211619094089416,86.62999466918247,0.0001508907256066,1.0,False
CFD,3,-3.374001275339928,96.87278155473224,0.0199729540644545,1.0,False
CDA,3,-3.3253557952135027,54.019362108066105,2.123744117149649e-05,1.0,False
CCDC33,3,-3.0385702766470386,38.58394291260249,0.0370350663946233,1.0,False
C16ORF74,3,-3.0147898547667915,28.835545630140036,1.4117355903707754e-14,1.0,False
MEGF6,3,-2.897307856335051,97.95493947392924,0.0101110823560668,1.0,False
RUFY4,3,-2.860579177576935,70.87297597838771,4.565542643812625e-05,1.0,False
TRIM50,3,-2.8204614019927594,0.0,0.0001913844290595,1.0,False
LINGO3,3,-2.7258059958571,77.62688710258527,6.313470443752541e-10,1.0,False
B3GNT7,4,-2.698949851496496,59.09753806091569,0.0059057507912928,1.0,False
CDH5,3,-2.654392917869606,17.29638901668932,3.548726750194169e-05,1.0,False
ACKR3,4,-2.545668840125027,58.1304262453045,1.221616048220713e-10,1.0,False
CEBPA-DT,3,-2.5328698922415778,92.5370877930638,0.032010564206627,1.0,False
CDH26,3,-2.5003438233956765,24.616768265720356,8.174033470988267e-05,1.0,False
RCN3,4,-2.4978967500276403,96.1961324397688,0.0130979259176774,1.0,False
SPOCK3,4,-2.442244714349089,33.03028115879844,9.668658181628255e-08,1.0,False
AVPI1,4,-2.439408970349002,87.00539690863955,7.948238853120476e-05,1.0,False
PCP4L1,3,-2.435628980683132,0.0,1.7533553114031896e-06,1.0,False
SLIT3,4,-2.4134712466567008,0.0,0.0028993325384287,1.0,False
ACE,3,-2.412066805279513,89.7458915283115,7.493835517458695e-06,1.0,False
AKR1C3,3,-2.395680644393375,61.45387424225846,5.74136914638113e-08,1.0,False
FAXDC2,4,-2.387841781912722,96.41088224546635,0.0199064095315163,1.0,False
CHST8,3,-2.386976632942639,0.0,0.0004757836953958,1.0,False
KLHL30,3,-2.3802486109460133,77.5677324602703,1.1310457307272721e-08,1.0,False
HPGD,4,-2.364624604168742,0.0,3.17471766425086e-11,1.0,False
CRACR2B,3,-2.354662265023584,94.03206089832496,0.0106682450380474,1.0,False
PIK3IP1,4,-2.3362085411262785,66.32010491435595,7.545826467983926e-22,1.0,False
ELOVL3,3,-2.320197925405284,53.31482651169496,0.0189095246295605,1.0,False
SERINC2,4,-2.3144558784454667,94.05811989789898,0.0026156829758539,1.0,False
C11ORF45,3,-2.312666094662577,94.19950395360964,0.0468076949224213,1.0,False
FXYD6,4,-2.3018852655691098,41.9362121265389,1.3625791053556884e-08,1.0,False
HTRA1,3,-2.257846013291719,26.52446722735936,0.0011754312863643,1.0,False
TBX6,3,-2.2477209446113635,42.10271820336558,2.7513317942662757e-07,1.0,False
SOCS2-AS1,3,-2.229180213773597,57.156626863462634,0.0488878793359658,1.0,False
BTN3A2,3,-2.217636110957243,55.37440243768527,1.3632936214415315e-36,1.0,False
KCNK3,3,-2.191973283096374,0.0,4.867111437967768e-10,1.0,False
TSC22D3,4,-2.1788307908201374,95.9486386148308,0.000132903965464,1.0,False
ENHO,4,-2.1652004205186377,61.49173580938655,0.0042640915190954,1.0,False
NFE2,3,-2.152854022923408,89.66108172251359,0.0210755843403624,1.0,False
SMIM10L2A,4,-2.1386956206230994,85.76118847629526,0.0084612099078122,1.0,False
C10ORF95,3,-2.136567080755404,0.0,0.0007974276239675,1.0,False
METTL27,4,-2.1323767555925848,63.021348899664254,0.0334640396484873,1.0,False
DHRS3,4,-2.124532842012764,94.72264878263223,0.0010393304737031,1.0,False
GIMAP7,3,-2.106980127251856,92.46619847771584,0.0226331849809319,1.0,False
DACH1,4,-2.093669180015529,88.33993049247132,0.0046447859442917,1.0,False
CD81-AS1,3,-2.0848404834634495,0.0,1.188244124465661e-05,1.0,False
SLC7A3,3,-2.072501712988758,70.30930502968383,0.0075860224328224,1.0,False
