gene_symbol,k_studies,pooled_log2FoldChange,I2,meta_FDR,direction_concordance,is_translation_factor
SLC1A2,3,6.29088552542964,39.818260890507034,0.0027684726348024,1.0,False
FCRL5,3,6.1064436360731,81.77286750159145,0.0119205630612929,1.0,False
IL6,3,5.128857582972793,78.78510195053062,1.1916345460144722e-79,1.0,False
IL1B,3,4.941024951652548,95.56495348764476,2.4830239726459988e-15,1.0,False
EDN1,3,4.7476111833482815,92.93178158054776,0.000378353677996,1.0,False
ADORA2A-AS1,3,4.4870018404554255,93.89426577281968,0.0001290590479367,1.0,False
ASTL,3,4.422025647692155,62.66629645088418,0.0296124516434385,1.0,False
GRIA4,4,4.333803387516171,56.678698052079426,0.0005253244799097,1.0,False
BIRC3,4,4.2344659934875,93.10318816398744,0.0015185265889799,1.0,False
MAB21L1,3,4.194734780444875,67.97046226815809,0.0004207509859108,1.0,False
FFAR2,3,4.189169226710856,58.90920812108927,6.8943915144865285e-78,1.0,False
SFRP2,3,4.165222396852399,10.905890051335655,0.0186401378888178,1.0,False
SLAMF7,3,4.154244735542604,98.54471346312688,0.0421309612746562,1.0,False
MORC1,3,4.118561465458148,2.723865941502126,4.7221785363946425e-08,1.0,False
TNFSF18,3,4.004954067347318,28.992881983964296,4.4027015270809406e-27,1.0,False
CNGB3,3,3.983412661343257,66.46106236747727,0.0181896051278719,1.0,False
MARCO,3,3.970047496359048,84.56242481319624,7.982255137283204e-42,1.0,False
SLC5A1,4,3.9227833514773898,72.47372115270527,0.0240160045012884,1.0,False
DLL4,4,3.886225582478831,95.20159521587348,0.0037119670777251,1.0,False
CCL2,4,3.827261715184235,87.7659988453439,1.2996213938204093e-19,1.0,False
TDO2,3,3.8034498435826447,0.0,1.4562258391609056e-29,1.0,False
RIMS1,4,3.730915142361017,79.26155091714662,7.025341398102667e-06,1.0,False
IGSF21,3,3.693891964003446,24.011785271208332,0.004067954533124,1.0,False
CHI3L2,3,3.682634583273979,95.7027643225852,0.0166758529963522,1.0,False
MACC1,3,3.6489818714293487,0.0,6.115876849336993e-134,1.0,False
TNF,3,3.589217532893098,93.32293980592222,3.713613097139194e-10,1.0,False
DNAJC5B,3,3.4991315085899477,3.56720066752244,7.973767568711815e-09,1.0,False
MYCN,4,3.4911707598914488,89.56129477666512,0.0119401857475188,1.0,False
ZC3H12D,3,3.3234135828580724,97.4398988133117,0.0008818610979133,1.0,False
TNFRSF25,4,3.3161513633610324,93.79819659900076,0.0013471419209405,1.0,False
C3ORF70,3,3.273209494811253,92.75126571162696,0.0004510188760189,1.0,False
HSPA1A,3,3.2395682477765613,98.37245170298736,0.0077931541933045,1.0,False
IL18R1,3,3.234238414107484,95.64611944898289,0.0457668857660585,1.0,False
FCGBP,3,3.1845667290592052,94.65217014998782,0.0044630848142211,1.0,False
DUSP2,3,3.1550022593910905,93.81098398661216,0.0031977783867501,1.0,False
CACNG5,3,3.1451774890834643,42.138544927518495,0.0198259205514453,1.0,False
ENPP2,4,3.1433038863007554,90.40251998561224,6.8336958624674945e-09,1.0,False
SIK1,3,3.13282579907027,0.0,8.526430232544822e-72,1.0,False
HMGA2-AS1,3,3.1192737232949033,0.0,8.009460595779015e-09,1.0,False
LILRA4,3,3.117783463053416,6.871881000188542,6.676099364356655e-12,1.0,False
DGKI,4,3.0493725597070527,83.60462994599003,0.0003006414042788,1.0,False
CLCA2,3,3.03774602087745,81.71421776948166,0.0078022774856812,1.0,False
INPP4B,4,3.0234627951308295,94.90745627521348,0.009481140501812,1.0,False
AFTPH-DT,3,3.005423617169209,92.22321472499196,0.0002189640070127,1.0,False
MIR503HG,3,2.954437206818894,94.00037026314178,3.10192698067628e-06,1.0,False
TNFRSF10D,3,2.9482730404233894,0.0,0.0,1.0,False
KCNQ3,3,2.90486013590288,86.48086945800775,0.0132807821469443,1.0,False
THBS1,4,2.898696453583468,0.0,2.1468727327807392e-64,1.0,False
KCND3,4,2.8750282110713665,89.31544349444577,0.0081481020619029,1.0,False
SGK1,4,2.839070055724884,97.78978192834256,5.9512899571356325e-05,1.0,False
