query_set,module,universe_size,query_size,module_size,overlap_size,pvalue,overlap_genes,padj
translation_targets_significant_with_effect,60S_ribosomal_subunits,14146,140,45,43,4.855658341476758e-87,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2,1.3595843356134922e-85
translation_targets_significant_with_effect,Translation_initiation_broad,14146,140,56,33,3.255435357470792e-53,DDX17;DDX21;DDX39B;DDX5;DDX54;DDX56;DHX15;DHX29;DHX33;DHX57;EIF1AX;EIF2A;EIF2B3;EIF2B5;EIF2S2;EIF2S3;EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3H;EIF3I;EIF3J;EIF3K;EIF3L;EIF3M;EIF4A1;EIF4B;EIF4EBP1;EIF4H;EIF5;EIF5B,4.557609500459109e-52
translation_targets_significant_with_effect,40S_ribosomal_subunits,14146,140,31,27,1.616645345341755e-51,RPS10;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS17;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA,1.508868988985638e-50
translation_targets_significant_with_effect,EIF3_complex,14146,140,13,11,4.590675217576512e-21,EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3H;EIF3I;EIF3J;EIF3K;EIF3L;EIF3M,3.2134726523035584e-20
downregulated_significant_host_protein_coding,60S_ribosomal_subunits,14146,4006,45,39,4.461656320477558e-16,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2,2.4985275394674326e-15
translation_targets_significant_with_effect,DHX_DDX_RNA_helicases,14146,140,19,10,5.574634840849268e-16,DDX17;DDX21;DDX39B;DDX5;DDX54;DDX56;DHX15;DHX29;DHX33;DHX57,2.6014962590629915e-15
translation_targets_significant_with_effect,EIF2_initiator_axis,14146,140,13,8,9.286362454187927e-14,EIF1AX;EIF2A;EIF2B3;EIF2B5;EIF2S2;EIF2S3;EIF5;EIF5B,3.714544981675171e-13
all_significant_host_protein_coding,60S_ribosomal_subunits,14146,7802,45,43,1.551761072275297e-09,RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL4;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2,5.431163752963539e-09
downregulated_significant_host_protein_coding,40S_ribosomal_subunits,14146,4006,31,24,1.9520484076707622e-08,RPS12;RPS13;RPS14;RPS15;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA,6.07303949053126e-08
translation_targets_significant_with_effect,EIF4_cap_scanning_axis,14146,140,11,4,2.8737300215692867e-06,EIF4A1;EIF4B;EIF4EBP1;EIF4H,8.046444060394003e-06
downregulated_significant_host_protein_coding,EIF3_complex,14146,4006,13,11,3.986311248652051e-05,EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3H;EIF3I;EIF3J;EIF3K;EIF3L;EIF3M,0.00010146974087477948
all_significant_host_protein_coding,40S_ribosomal_subunits,14146,7802,31,27,0.00015864514865656602,RPS10;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS17;RPS18;RPS19;RPS2;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS3;RPS3A;RPS4X;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA,0.00037017201353198737
downregulated_significant_host_protein_coding,Translation_initiation_broad,14146,4006,56,23,0.027082111920053765,DDX21;DDX54;DHX33;EIF1AX;EIF2A;EIF2B3;EIF2S2;EIF2S3;EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3H;EIF3I;EIF3J;EIF3K;EIF3L;EIF3M;EIF4B;EIF4EBP1;EIF4H;EIF5B,0.05507343087180965
all_significant_host_protein_coding,EIF3_complex,14146,7802,13,11,0.027536715435904826,EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3H;EIF3I;EIF3J;EIF3K;EIF3L;EIF3M,0.05507343087180965
downregulated_significant_host_protein_coding,EIF2_initiator_axis,14146,4006,13,6,0.13263422661517132,EIF1AX;EIF2A;EIF2B3;EIF2S2;EIF2S3;EIF5B,0.24758388968165315
upregulated_significant_host_protein_coding,DHX_DDX_RNA_helicases,14146,3796,19,7,0.2282883230909225,DDX17;DDX39B;DDX5;DDX56;DHX15;DHX29;DHX57,0.3980768058702272
all_significant_host_protein_coding,Translation_initiation_broad,14146,7802,56,34,0.2416894892783522,DDX17;DDX21;DDX39B;DDX5;DDX54;DDX56;DHX15;DHX29;DHX33;DHX57;EIF1AX;EIF2A;EIF2B3;EIF2B5;EIF2S2;EIF2S3;EIF3B;EIF3C;EIF3D;EIF3E;EIF3F;EIF3H;EIF3I;EIF3J;EIF3K;EIF3L;EIF3M;EIF4A1;EIF4B;EIF4EBP1;EIF4ENIF1;EIF4H;EIF5;EIF5B,0.3980768058702272
all_significant_host_protein_coding,EIF2_initiator_axis,14146,7802,13,8,0.43120938935900827,EIF1AX;EIF2A;EIF2B3;EIF2B5;EIF2S2;EIF2S3;EIF5;EIF5B,0.670770161225124
downregulated_significant_host_protein_coding,EIF4_cap_scanning_axis,14146,4006,11,3,0.6424771929633992,EIF4B;EIF4EBP1;EIF4H,0.9464914268426767
all_significant_host_protein_coding,DHX_DDX_RNA_helicases,14146,7802,19,10,0.6760653048876262,DDX17;DDX21;DDX39B;DDX5;DDX54;DDX56;DHX15;DHX29;DHX33;DHX57,0.9464914268426767
all_significant_host_protein_coding,EIF4_cap_scanning_axis,14146,7802,11,5,0.8289727688633384,EIF4A1;EIF4B;EIF4EBP1;EIF4ENIF1;EIF4H,1.0
upregulated_significant_host_protein_coding,EIF4_cap_scanning_axis,14146,3796,11,2,0.8381778986550112,EIF4A1;EIF4ENIF1,1.0
upregulated_significant_host_protein_coding,EIF2_initiator_axis,14146,3796,13,2,0.9007925912070364,EIF2B5;EIF5,1.0
upregulated_significant_host_protein_coding,Translation_initiation_broad,14146,3796,56,11,0.9182424621514778,DDX17;DDX39B;DDX5;DDX56;DHX15;DHX29;DHX57;EIF2B5;EIF4A1;EIF4ENIF1;EIF5,1.0
downregulated_significant_host_protein_coding,DHX_DDX_RNA_helicases,14146,4006,19,3,0.93714816794091,DDX21;DDX54;DHX33,1.0
upregulated_significant_host_protein_coding,40S_ribosomal_subunits,14146,3796,31,3,0.9953759524119062,RPS10;RPS15A;RPS17,1.0
upregulated_significant_host_protein_coding,60S_ribosomal_subunits,14146,3796,45,4,0.9993435579507283,RPL17;RPL26;RPL36A;RPL37,1.0
upregulated_significant_host_protein_coding,EIF3_complex,14146,3796,13,0,1.0,,1.0
