priority_rank,gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id_base,gencode_symbol,gene_type,gencode_release,host_gene,target_family,translation_target,protein_coding,gencode_pseudogene,symbol_pseudogene_like,curated_host_protein_coding_target,significant,passes_effect_size,significant_with_effect,log2FoldChange_strict,padj_strict,significant_strict,direction_agreement,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC,n_infected_samples,pearson_r_viral_load,pearson_p_viral_load,spearman_r_viral_load,spearman_p_viral_load,viral_load_correlation_q,candidate_priority_score,priority_interpretation
31,ENSG00000109606.13,DHX15,545.3155060624982,0.7642139391541203,0.1151021973716811,6.639438313122435,3.1488074607354966e-11,4.286859595420798e-10,ENSG00000109606,DHX15,protein_coding,v44,True,DHX,True,True,False,False,True,True,True,True,0.751908477040268,0.0008926865155596,True,True,3,3.0,0.7979729797496007,1.0,0.7642139391541203,0.7043737216176243,0.9253312784770574,4.286859595420798e-10,3.0608724449737533e-24,1.4316478895113495e-14,6,-0.3768064768561388,0.4615403645144549,-0.2571428571428572,0.6227871720116619,0.9277903245851797,8.667227470050074,cross-dataset conserved translation factor
39,ENSG00000163214.21,DHX57,77.08689902307738,1.0027515035896104,0.2301193345639724,4.3575282602377285,1.3153951859027897e-05,6.084574550273562e-05,ENSG00000163214,DHX57,protein_coding,v44,True,DHX,True,True,False,False,True,True,True,True,0.8762917692197559,0.027087885138907,True,True,3,3.0,0.5924757380984274,1.0,1.0027515035896104,0.2887044594540163,0.4859712512516553,6.084574550273562e-05,0.0061939198597572,0.0071142104129907,6,0.15906818109818868,0.7634101544910965,0.3714285714285715,0.4684781341107872,0.9462584097748057,8.503816322835638,cross-dataset conserved translation factor
44,ENSG00000005100.13,DHX33,76.7956627608616,-1.260003285741127,0.1931847063048432,-6.522272439894162,6.925008066460456e-11,8.889607176545175e-10,ENSG00000005100,DHX33,protein_coding,v44,True,DHX,True,True,False,False,True,True,True,True,-1.2893279183153603,6.182545633022994e-05,True,True,3,3.0,0.0569668564237694,0.6666666666666666,-1.260003285741127,0.5297136040491792,0.901190250963256,8.889607176545173e-10,1.18559280384536e-07,8.210936292844133e-09,6,-0.24261709407308082,0.6432149504860686,-0.14285714285714288,0.7871720116618076,0.9462584097748057,8.380676202851964,cross-dataset conserved translation factor
52,ENSG00000067248.11,DHX29,126.64784963204478,0.9748369892726652,0.2084341388468345,4.676954527055729,2.911667916221196e-06,1.563354929906063e-05,ENSG00000067248,DHX29,protein_coding,v44,True,DHX,True,True,False,False,True,True,True,True,0.9128525830978348,0.0093589470181432,True,True,3,2.0,0.5436783458358755,1.0,0.9748369892726652,0.1543243184016307,0.5018737298333306,1.563354929906063e-05,0.1381030562827207,0.0085533908601478,6,0.779290985192624,0.06769306328097768,0.6,0.208,0.9264161857994898,7.97709715979769,mentor-focal DHX29 candidate
67,ENSG00000108406.10,DHX40,88.93634505838776,-1.3821128957947115,0.2156151234416361,-6.410092547004612,1.4543132722837348e-10,1.7700096243587196e-09,ENSG00000108406,DHX40,protein_coding,v44,True,DHX,True,True,False,False,True,True,True,True,-1.453948160169882,0.0002424585465403,True,True,3,2.0,-0.1648354870766722,0.6666666666666666,-1.3821128957947115,0.0087325599204556,0.8788738746442392,1.7700096243587192e-09,0.9565945404093172,5.531408822906936e-06,6,-0.6264331609849003,0.18326224083756845,-0.7142857142857143,0.11078717201166179,0.9264161857994898,7.703519064119742,strict-sensitivity-supported primary target
68,ENSG00000134815.19,DHX34,31.16047844103035,1.3091297032950695,0.2899261020389821,4.515390970624129,6.320005649699998e-06,3.148454162173526e-05,ENSG00000134815,DHX34,protein_coding,v44,True,DHX,True,True,False,False,True,True,True,True,1.367385939598155,0.0035633584647848,True,True,3,2.0,0.5738163727190566,1.0,1.3091297032950695,0.3265535282392487,0.0857658866228516,3.148454162173526e-05,0.0005177687154873,0.6763580346358132,6,0.3468542951131009,0.5005832136093824,0.4285714285714286,0.3965014577259473,0.9462584097748057,7.694008396735709,strict-sensitivity-supported primary target
94,ENSG00000181381.15,DDX60L,12.401803094983627,2.432371080715438,0.530085240427931,4.588641401808917,4.461400594165767e-06,2.301943386769704e-05,ENSG00000181381,DDX60L,protein_coding,v44,True,DDX,True,True,False,False,True,True,True,True,,,False,False,2,2.0,-0.5483857685161901,1.0,,-0.4397218633166445,-0.6570496737157357,,1.8816255172028222e-05,0.0027184340447268,6,0.721577552461168,0.10548706583056663,0.7714285714285715,0.07239650145772594,0.9264161857994898,6.728979497899201,primary significant translation target
98,ENSG00000100201.23,DDX17,3430.513372298427,2.354269482597309,0.3930944178670083,5.989068721382367,2.110459813863188e-09,2.074318546208028e-08,ENSG00000100201,DDX17,protein_coding,v44,True,DDX,True,True,False,False,True,True,True,True,,,False,False,2,2.0,-0.3669429214968333,1.0,,-0.1737334472476655,-0.560152395746001,,0.016761861911133,5.902276131416473e-05,6,0.47801672214125646,0.33758832410119677,0.6571428571428573,0.1561749271137024,0.9264161857994898,6.69707991225527,primary significant translation target
102,ENSG00000123064.13,DDX54,132.99342916378964,-1.9417988273250204,0.2793815562043804,-6.9503472373262385,3.6438818845590234e-12,5.6484053946149465e-11,ENSG00000123064,DDX54,protein_coding,v44,True,DDX,True,True,False,False,True,True,True,True,,,False,False,2,2.0,0.5871302350265704,1.0,,0.4044027448901549,0.7698577251629858,,2.305971382364664e-06,1.275986620107169e-05,6,-0.7117319863521379,0.11267035931195947,-0.3142857142857143,0.5440932944606415,0.9264161857994898,6.6696582643928,primary significant translation target
105,ENSG00000108654.16,DDX5,1041.1604948084923,2.0883950759151233,0.3164033003904602,6.600421276699457,4.099910527259533e-11,5.452381012166489e-10,ENSG00000108654,DDX5,protein_coding,v44,True,DDX,True,True,False,False,True,True,True,True,,,False,False,2,2.0,0.3984148787274413,1.0,,0.4670073197346874,0.3298224377201953,,2.126467321122577e-09,0.0351120441329072,6,-0.5093856888900432,0.3020075817637487,-0.2571428571428572,0.6227871720116619,0.9264161857994898,6.6175411481282085,primary significant translation target
