priority_rank,gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id_base,gencode_symbol,gene_type,gencode_release,host_gene,target_family,translation_target,protein_coding,gencode_pseudogene,symbol_pseudogene_like,curated_host_protein_coding_target,significant,passes_effect_size,significant_with_effect,log2FoldChange_strict,padj_strict,significant_strict,direction_agreement,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC,n_infected_samples,pearson_r_viral_load,pearson_p_viral_load,spearman_r_viral_load,spearman_p_viral_load,viral_load_correlation_q,candidate_priority_score,priority_interpretation
1,ENSG00000100129.18,EIF3L,152.62138130187498,-2.229925088818498,0.3180995537828833,-7.010148434035586,2.3806542171753698e-12,3.817799152690796e-11,ENSG00000100129,EIF3L,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-2.337112811037723,4.616062939614107e-06,True,True,3,3.0,-1.0755224820747131,1.0,-2.229925088818498,-0.3280123318568826,-0.6686300255487594,3.817799152690796e-11,2.535589119082258e-05,6.72279559799613e-08,6,-0.6339228817790348,0.1764892377895853,-0.48571428571428577,0.3287230320699708,0.9264161857994898,9.187531021719282,cross-dataset conserved translation factor
2,ENSG00000187840.5,EIF4EBP1,125.15219736994634,-4.4135379447419165,0.7680727076506764,-5.746250193216365,9.124426752722502e-09,7.918971248582481e-08,ENSG00000187840,EIF4EBP1,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-3.9970088984235113,5.551633892138006e-05,True,True,3,3.0,-0.8289957355496796,0.6666666666666666,-4.4135379447419165,1.1312887661118691,0.795261971981008,7.918971248582481e-08,8.809510857472348e-50,0.0001423245118004,6,-0.31663122098851243,0.5409251523080563,-0.6571428571428573,0.1561749271137024,0.9462584097748057,9.136031138816689,cross-dataset conserved translation factor
3,ENSG00000265681.8,RPL17,16.700680490958725,1.9611105712888413,0.3318958995821335,5.908812292522854,3.4458306636889703e-09,3.251993369755796e-08,ENSG00000265681,RPL17,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,1.7986206450786273,0.0001995127517848,True,True,3,3.0,1.1864393224414325,1.0,1.9611105712888413,0.6650654246186262,0.9331419714168302,3.251993369755796e-08,5.4129436581772696e-08,4.3147968224553236e-07,6,-0.6434102254754007,0.1680630886011099,-0.3714285714285715,0.4684781341107872,0.9264161857994898,9.061082731822673,cross-dataset conserved translation factor
4,ENSG00000198034.11,RPS4X,674.01662888699,-2.0775528781919763,0.4072422492201191,-5.101516068557601,3.3694340768096713e-07,2.2068275440005685e-06,ENSG00000198034,RPS4X,protein_coding,v44,True,RPS,True,True,False,False,True,True,True,True,-1.917021544778457,0.0010013691859845,True,True,3,3.0,-0.9948292456419444,1.0,-2.0775528781919763,-0.2256782267436528,-0.6812566319902036,2.2068275440005685e-06,0.0104606683984437,2.5537939992766366e-08,6,0.44538702251707374,0.3760950889367312,0.2571428571428572,0.6227871720116619,0.9264161857994898,9.053493959420484,cross-dataset conserved translation factor
5,ENSG00000253626.4,EIF5AL1,6.0924774700493,-3.216578442919523,0.8064363661264503,-3.988632678322395,6.645523077428881e-05,0.0002607752038839,ENSG00000253626,EIF5AL1,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,-3.1424217641421146,0.0033502557414325,True,True,3,3.0,0.070408145507447,0.6666666666666666,-3.216578442919523,1.1845535650749217,2.2432493143669423,0.0002607752038839,0.0002837972070262,1.3603830968407846e-06,6,-0.5510682179455747,0.25707081898281137,-0.5768179036829705,0.23073225195460048,0.9264161857994898,9.027607095584104,cross-dataset conserved translation factor
6,ENSG00000175376.9,EIF1AD,87.8176006172651,1.774602850976282,0.282298188018868,6.2862707813685015,3.2518255840796315e-10,3.732753473093515e-09,ENSG00000175376,EIF1AD,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,1.7691898302273426,3.954645892831064e-05,True,True,3,3.0,1.0669494921373708,1.0,1.774602850976282,0.5694367251968758,0.8568089002389547,3.732753473093515e-09,5.829412568152022e-10,3.6707131652374202e-09,6,-0.5948391455403071,0.21297832253000437,-0.48571428571428577,0.3287230320699708,0.9264161857994898,9.027561638874424,cross-dataset conserved translation factor
7,ENSG00000147604.14,RPL7,688.2448262187836,-2.3336055056538227,0.4346794926770294,-5.368565908830928,7.936518766897152e-08,5.863667828794949e-07,ENSG00000147604,RPL7,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-2.1664981647507924,0.0006073109448459,True,True,3,3.0,-0.9501794391204604,1.0,-2.3336055056538227,-0.2441394824849307,-0.2727933292226279,5.863667828794949e-07,0.0011179292269759,0.0393307063271944,6,0.30597010058653484,0.5553669580382998,0.028571428571428574,0.9571545189504373,0.9462584097748057,9.013585004651405,cross-dataset conserved translation factor
8,ENSG00000142541.18,RPL13A,1248.1610756340826,-1.856025140073757,0.4727764290120985,-3.925798805054769,8.644238795552003e-05,0.0003273673348341,ENSG00000142541,RPL13A,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.5597122913988304,0.0133557508396817,True,True,3,3.0,-0.885651789785259,1.0,-1.856025140073757,-0.2633183074820366,-0.5376119217999834,0.0003273673348341,0.000898958407341,0.0004516538718363,6,0.4025538087225443,0.42878612250088144,0.2571428571428572,0.6227871720116619,0.9264161857994898,8.984888617356532,cross-dataset conserved translation factor
9,ENSG00000147403.18,RPL10,1123.427782689725,-2.4499401794467626,0.5352822076283316,-4.57691315820431,4.718872331445073e-06,2.4227543679100055e-05,ENSG00000147403,RPL10,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-2.225286705523535,0.0024612395371128,True,True,3,3.0,-1.0569723632299282,1.0,-2.4499401794467626,-0.2924112971708279,-0.4285656130721941,2.4227543679100055e-05,0.000273637047315,0.0005154629096392,6,0.14090355868165028,0.7900433984194473,-0.08571428571428573,0.8717434402332361,0.9525454590517624,8.933899095688039,cross-dataset conserved translation factor
10,ENSG00000108107.15,RPL28,386.863420025444,-2.4088305404373793,0.4134684329546105,-5.825911601580028,5.680167814596396e-09,5.144703489881536e-08,ENSG00000108107,RPL28,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-2.1533059465962605,0.0001044623697598,True,True,3,3.0,-1.0966251239450877,1.0,-2.4088305404373793,-0.2830703496136189,-0.597974481784265,5.144703489881536e-08,0.0036382935252631,0.0005112695063509,6,0.18505330242155066,0.7255885960692348,-0.08571428571428573,0.8717434402332361,0.9462584097748057,8.924047342954648,cross-dataset conserved translation factor
11,ENSG00000116251.11,RPL22,94.13907785834436,-1.9316100662101736,0.2930489175212205,-6.591425358431157,4.3562382357321495e-11,5.765142956390665e-10,ENSG00000116251,RPL22,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.9484142358277103,4.644306332902006e-05,True,True,3,3.0,-0.814724798720531,1.0,-1.9316100662101736,-0.1770443935637403,-0.335519936387679,5.765142956390663e-10,0.0348650891422584,0.0267070578878254,6,-0.4005232051151827,0.4313409258726371,-0.48571428571428577,0.3287230320699708,0.9264161857994898,8.923187930005593,cross-dataset conserved translation factor
12,ENSG00000186468.13,RPS23,601.9063166681855,-1.71333215349277,0.4328342462655875,-3.958402479182453,7.545273637501977e-05,0.0002903359527768,ENSG00000186468,RPS23,protein_coding,v44,True,RPS,True,True,False,False,True,True,True,True,-1.5304773794179265,0.0123299791823172,True,True,3,3.0,-0.7752688980214973,1.0,-1.71333215349277,-0.1804606981476473,-0.432013842424075,0.0002903359527768,0.0497624187819203,0.0006500420997185,6,0.3558137910363632,0.4888029408892012,0.14285714285714288,0.7871720116618076,0.9462584097748057,8.891789413522224,cross-dataset conserved translation factor
13,ENSG00000100664.11,EIF5,623.7952319971358,1.4226433594061156,0.330491906838863,4.30462389537348,1.672696615595155e-05,7.542177627895458e-05,ENSG00000100664,EIF5,protein_coding,v44,True,EIF,True,True,False,False,True,True,True,True,1.3379187391468748,0.007866337592235,True,True,3,3.0,0.9859849342147036,1.0,1.4226433594061156,0.3925056974382421,1.1428057457997534,7.542177627895458e-05,3.3191876992298867e-06,1.0356499575701765e-15,6,-0.4412328424750527,0.38110175781345035,-0.6571428571428573,0.1561749271137024,0.9264161857994898,8.884276676490435,cross-dataset conserved translation factor
14,ENSG00000182774.13,RPS17,68.28531471423204,2.6774472050696803,0.283212846459584,9.453833886916447,3.2664239647172207e-21,1.4421195682283926e-19,ENSG00000182774,RPS17,protein_coding,v44,True,RPS,True,True,False,False,True,True,True,True,2.831840569959582,8.196246747600218e-12,True,True,3,3.0,1.367001635595746,1.0,2.6774472050696803,0.6587959762493549,0.7647617254682025,1.4421195682283926e-19,1.6601654907965646e-07,0.0006786147882416,6,0.09547942005015031,0.8572160803815101,-0.028571428571428574,0.9571545189504373,0.966988858164536,8.871126128087228,cross-dataset conserved translation factor
15,ENSG00000142676.14,RPL11,551.5421382362537,-1.6220877706998853,0.444891687231785,-3.646028499190164,0.0002663244525726,0.0008897880377771,ENSG00000142676,RPL11,protein_coding,v44,True,RPL,True,True,False,False,True,True,True,True,-1.2880081836498851,0.0256400940181196,True,True,3,3.0,-0.7592312108392124,1.0,-1.6220877706998853,-0.2980777014238055,-0.3575281603939464,0.0008897880377771,0.0005534288501542,0.0036199015726331,6,0.36161924472498663,0.4812153320647285,0.2571428571428572,0.6227871720116619,0.9462584097748057,8.87065353782546,cross-dataset conserved translation factor
