stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000216554,9606.ENSP00000431800,EIF5,EIF3F,9606,0.9,0,0,0,0,0.0,0.9,0.0
9606.ENSP00000216554,9606.ENSP00000388806,EIF5,EIF4B,9606,0.936,0,0,0,0,0.0,0.0,0.936
9606.ENSP00000216554,9606.ENSP00000354125,EIF5,EIF3B,9606,0.969,0,0,0,0,0.703,0.9,0.0
9606.ENSP00000265753,9606.ENSP00000388806,EIF4H,EIF4B,9606,0.975,0,0,0,0,0.0,0.8,0.883
9606.ENSP00000296674,9606.ENSP00000434056,RPS23,EIF1AD,9606,0.8,0,0,0,0,0.8,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000431800,RPS23,EIF3F,9606,0.816,0,0,0,0,0.816,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000499067,RPS23,EIF3L,9606,0.867,0,0,0,0,0.867,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000354125,RPS23,EIF3B,9606,0.893,0,0,0,0,0.892,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000463842,RPS23,RPL17,9606,0.937,0,0,0,0,0.937,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000375730,RPS23,RPL13A,9606,0.939,0,0,0,0,0.939,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000339795,RPS23,RPL7,9606,0.949,0,0,0,0,0.948,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000413436,RPS23,RPL10,9606,0.952,0,0,0,0,0.951,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000346088,RPS23,RPL22,9606,0.952,0,0,0,0,0.952,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000378163,RPS23,RPL34,9606,0.968,0,0,0,0,0.967,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000452763,RPS23,RPL28,9606,0.971,0,0,0,0,0.971,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000309334,RPS23,RPL15,9606,0.975,0,0,0,0,0.975,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000307889,RPS23,RPL13,9606,0.975,0,0,0,0,0.975,0.0,0.0
9606.ENSP00000296674,9606.ENSP00000362744,RPS23,RPS4X,9606,0.991,0,0,0,0,0.922,0.9,0.0
9606.ENSP00000296674,9606.ENSP00000472469,RPS23,RPS28,9606,0.996,0,0,0,0,0.962,0.9,0.0
