gene_symbol,degree_in_string_subnetwork,log2FoldChange,padj,candidate_priority_score,target_family
RPS4X,22,-2.0775528781919763,2.2068275440005685e-06,9.053493959420484,RPS
RPS23,22,-1.71333215349277,0.0002903359527768,8.891789413522224,RPS
RPS17,22,2.6774472050696803,1.4421195682283926e-19,8.871126128087228,RPS
RPS9,22,-1.8235420518412873,3.3529610450014077e-06,8.828815269612234,RPS
RPS25,22,-1.880219891939944,6.248995778556065e-05,8.783267645430273,RPS
RPS28,22,-1.8076062173018952,8.727239013630574e-05,8.68894340215527,RPS
RPL17,18,1.9611105712888413,3.251993369755796e-08,9.061082731822673,RPL
RPL7,18,-2.3336055056538227,5.863667828794949e-07,9.013585004651405,RPL
RPL13A,18,-1.856025140073757,0.0003273673348341,8.984888617356532,RPL
RPL10,18,-2.4499401794467626,2.4227543679100055e-05,8.933899095688039,RPL
RPL28,18,-2.4088305404373793,5.144703489881536e-08,8.924047342954648,RPL
RPL22,18,-1.9316100662101736,5.765142956390665e-10,8.923187930005593,RPL
RPL11,18,-1.6220877706998853,0.0008897880377771,8.87065353782546,RPL
RPL34,18,-1.8773797993492107,1.1242666650342816e-08,8.866816927657839,RPL
RPL15,18,-1.7292620577997757,5.5970225573868234e-05,8.85998092783813,RPL
RPL18,18,-1.5960648149559462,3.41657375880165e-06,8.852488307940078,RPL
RPL31,18,-1.4646685480070374,0.0008718722204491,8.83980284761926,RPL
RPL30,18,-1.0448061534562243,0.0021385322566802,8.773748632566551,RPL
RPL13,18,-1.6179962634549554,0.0017801466233027,8.70204618776094,RPL
EIF3B,10,-1.5469196224879147,8.07473518125793e-06,8.797905963535168,EIF
EIF3F,9,-1.2930986121678836,0.0012066318716176,8.836390405376028,EIF
EIF3L,8,-2.229925088818498,3.817799152690796e-11,9.187531021719282,EIF
EIF1AD,6,1.774602850976282,3.732753473093515e-09,9.027561638874424,EIF
EIF4B,4,-2.0729162729545703,8.344665391484628e-13,8.869670242348993,EIF
EIF5,3,1.4226433594061156,7.542177627895458e-05,8.884276676490435,EIF
EIF4A3,1,-1.51805394076059,0.0001601946077792,8.69856661432268,EIF
EIF4H,1,-1.271945929930445,0.0008246471857836,8.674289056724309,EIF
