gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id_base,significant,direction
ENSG00000165732.14,DDX21,3566.560661842242,1.9002062488729474,0.12433813261889891,15.282570269067428,9.99207082218664e-53,5.837058981462207e-51,ENSG00000165732,True,up
ENSG00000110321.19,EIF4G2,12309.062618208452,1.4627704785280753,0.11366035296784786,12.869663346390121,6.669219949696355e-38,2.403438131871688e-36,ENSG00000110321,True,up
ENSG00000114867.22,EIF4G1,11008.746358894185,1.5555336052646838,0.1214947913080175,12.803294598210757,1.57140206039223e-37,5.602523680441123e-36,ENSG00000114867,True,up
ENSG00000151247.13,EIF4E,790.2233730254464,1.5953265104352379,0.13664327765292095,11.67511887769135,1.7082676016623846e-31,4.834542081145367e-30,ENSG00000151247,True,up
ENSG00000132507.18,EIF5A,11161.953962538859,2.050792192913421,0.17703986445720116,11.58378763563273,4.979620011531226e-31,1.3781304719758448e-29,ENSG00000132507,True,up
ENSG00000158417.12,EIF5B,2258.0366283790668,1.352009421089685,0.12159714919431179,11.118759198286622,1.0167619661398464e-28,2.5853882633939216e-27,ENSG00000158417,True,up
ENSG00000134001.15,EIF2S1,1190.711585656589,1.480896268478712,0.13391978914947109,11.0580839313139,2.0033130650325856e-28,5.049104891076468e-27,ENSG00000134001,True,up
ENSG00000125977.7,EIF2S2,1916.9867002344126,1.327699369833307,0.12243378488934807,10.84422384747185,2.1243124039259517e-27,5.1159672641183047e-26,ENSG00000125977,True,up
ENSG00000173674.11,EIF1AX,1691.439150947699,1.4359036262702993,0.13563441322618483,10.586573068855152,3.43954130037966e-26,7.666083318766101e-25,ENSG00000173674,True,up
ENSG00000070785.17,EIF2B3,333.9365096496836,1.716265973598764,0.16907258647736745,10.151060023136917,3.277835352690224e-24,6.561237458726674e-23,ENSG00000070785,True,up
ENSG00000079785.16,DDX1,1335.587441457945,1.2332421294608584,0.12648005928075065,9.750486649625953,1.8358607075945458e-22,3.3624443325477072e-21,ENSG00000079785,True,up
ENSG00000146223.16,RPL7L1,2706.9115078688387,1.1577506841374112,0.1212111341939344,9.551520921213745,1.2780601329311796e-21,2.206858436662795e-20,ENSG00000146223,True,up
ENSG00000197728.11,RPS26,1680.7788345717493,1.3107215149826743,0.13746982470459782,9.534612543510692,1.5044630388645708e-21,2.5831127600453647e-20,ENSG00000197728,True,up
ENSG00000135829.17,DHX9,2856.187283112471,1.1657969384099927,0.12349210547892936,9.44025477490061,3.718740818353293e-21,6.230134596767971e-20,ENSG00000135829,True,up
ENSG00000177954.14,RPS27,6206.770229481746,-1.0960655713126202,0.12072670701301537,-9.078898931571578,1.0967872425998007e-19,1.669933585104271e-18,ENSG00000177954,True,down
ENSG00000088205.13,DDX18,1616.0227808900818,1.1880511131993017,0.13755420627688056,8.63696680280277,5.7725149204392935e-18,7.873647478614167e-17,ENSG00000088205,True,up
ENSG00000104131.13,EIF3J,1233.7375147268945,1.1623755839897933,0.13531042761152368,8.590436114258498,8.663983343797898e-18,1.1658847163175182e-16,ENSG00000104131,True,up
ENSG00000136271.11,DDX56,1267.7836090471408,1.0537503860885173,0.12297917874323022,8.568526777111238,1.0481732038795182e-17,1.4048325408785224e-16,ENSG00000136271,True,up
ENSG00000242372.9,EIF6,975.8760253711912,1.3033537392843568,0.15269409472895834,8.535718041996923,1.3928766141857908e-17,1.8482826965854763e-16,ENSG00000242372,True,up
ENSG00000106263.19,EIF3B,4950.98966752401,1.0599752752507923,0.12469489871109506,8.500550433154794,1.886938028969539e-17,2.4808777747022736e-16,ENSG00000106263,True,up
ENSG00000100664.11,EIF5,2806.455205881099,1.1428057457997534,0.13723341945803463,8.327459523437863,8.259562969492147e-17,1.0356499575701763e-15,ENSG00000100664,True,up
ENSG00000183258.12,DDX41,2683.9024448794175,1.0586494609376806,0.1282288337668944,8.255939244227912,1.5071228163067885e-16,1.8629376847834126e-15,ENSG00000183258,True,up
ENSG00000117676.14,RPS6KA1,6603.136349701548,0.9814478383511135,0.12259849763158423,8.005382262516973,1.1909613086501557e-15,1.3730317457665806e-14,ENSG00000117676,True,up
ENSG00000109606.13,DHX15,2698.9169899420135,0.9253312784770574,0.11566810472672195,7.99988277376248,1.2453771879115048e-15,1.4316478895113495e-14,ENSG00000109606,True,up
ENSG00000198208.12,RPS6KL1,145.79290332948923,1.7350619808351893,0.21891826010336543,7.925615615691238,2.2701881676453767e-15,2.546907072514581e-14,ENSG00000198208,True,up
ENSG00000106682.16,EIF4H,6769.048093197475,0.8973636693119134,0.12053263014207888,7.444985380756549,9.695515507249597e-14,9.689229138092778e-13,ENSG00000106682,True,up
ENSG00000163584.18,RPL22L1,422.647967886416,1.1389215800128907,0.15305803038377433,7.441109605011797,9.984306102540053e-14,9.953012008785824e-13,ENSG00000163584,True,up
ENSG00000184110.15,EIF3C,474.7046138784122,1.0998804789658134,0.1516215215094237,7.254118465612764,4.042861646183584e-13,3.842828216536075e-12,ENSG00000184110,True,up
ENSG00000084623.12,EIF3I,1905.6782215345072,0.892765778808247,0.12995503747058781,6.869805097092161,6.428967959062615e-12,5.523894982664563e-11,ENSG00000084623,True,up
ENSG00000123136.15,DDX39A,1552.1260297847068,0.9285640112504514,0.14172440035104994,6.551899383242459,5.680981597447394e-11,4.4534361607219653e-10,ENSG00000123136,True,up
ENSG00000089737.19,DDX24,3062.503065287427,0.7742864885398312,0.12124338336933875,6.38621644350813,1.700402849634099e-10,1.2656378862599718e-09,ENSG00000089737,True,up
ENSG00000107581.14,EIF3A,6926.6791483523,0.7445709790898777,0.11727138961404163,6.349127281090269,2.1653982225699646e-10,1.5939781111548266e-09,ENSG00000107581,True,up
ENSG00000175376.9,EIF1AD,684.9674274650819,0.8568089002389547,0.13788794322297598,6.213805791949665,5.171644091163965e-10,3.67071316523742e-09,ENSG00000175376,True,up
ENSG00000089876.12,DHX32,439.4844392989632,0.9347896749621087,0.15044877354581243,6.213341943113019,5.186940426021265e-10,3.6802664772021275e-09,ENSG00000089876,True,up
ENSG00000135930.15,EIF4E2,1847.9331684812707,0.7561841881463935,0.12280052403780624,6.15782541704455,7.375059087309112e-10,5.157907816140058e-09,ENSG00000135930,True,up
ENSG00000105671.12,DDX49,774.613418336106,0.9779849012979911,0.15909508715815318,6.147172227422687,7.887647036368196e-10,5.501036674824558e-09,ENSG00000105671,True,up
ENSG00000005100.13,DHX33,607.1081983364428,0.9011902509632561,0.14821592127877986,6.08025266913265,1.1999331024678168e-09,8.210936292844133e-09,ENSG00000005100,True,up
ENSG00000178105.12,DDX10,339.822705135081,1.083990006634934,0.1795311398677235,6.037894080289388,1.5613849446399351e-09,1.0558714186888417e-08,ENSG00000178105,True,up
ENSG00000184708.18,EIF4ENIF1,517.6761911335904,0.8246382305227715,0.13915311089186544,5.926121415737446,3.1017328981132824e-09,2.0410319237929667e-08,ENSG00000184708,True,up
ENSG00000198034.11,RPS4X,21174.324569218672,-0.6812566319902036,0.1157279155681497,-5.886709603691307,3.9396003652064095e-09,2.5537939992766363e-08,ENSG00000198034,True,down
ENSG00000100129.18,EIF3L,2647.70416258005,-0.6686300255487594,0.11696174965111067,-5.716655466793542,1.0864107474328228e-08,6.72279559799613e-08,ENSG00000100129,True,down
ENSG00000141543.12,EIF4A3,1961.9221864609938,0.8771824794253984,0.15383892014305275,5.701954216850444,1.1844164372363005e-08,7.284270151290287e-08,ENSG00000141543,True,up
ENSG00000165502.7,RPL36AL,3007.3136474452367,0.6826155830866398,0.12047405161609172,5.666079740240619,1.461015536378558e-08,8.88178649951977e-08,ENSG00000165502,True,up
