gene_symbol,dataset_count,significant_dataset_count,mean_log2_fold_change,direction_consistency,log2fc_GSE278320_primary,log2fc_GSE287860,log2fc_GSE288000_NTC,padj_GSE278320_primary,padj_GSE287860,padj_GSE288000_NTC
DHX15,3,3.0,0.7979729797496007,1.0,0.7642139391541203,0.7043737216176243,0.9253312784770574,4.286859595420798e-10,3.060872444973753e-24,1.4316478895113495e-14
DHX57,3,3.0,0.5924757380984274,1.0,1.0027515035896104,0.28870445945401635,0.48597125125165536,6.084574550273562e-05,0.00619391985975722,0.007114210412990701
EIF1AD,3,3.0,1.0669494921373708,1.0,1.774602850976282,0.5694367251968758,0.8568089002389547,3.732753473093515e-09,5.829412568152023e-10,3.67071316523742e-09
EIF2B5,3,3.0,0.5793680596434438,1.0,0.6171419322872697,0.4533273532546064,0.6676348933884555,0.000763778492581,5.935723330421257e-10,5.662032377514969e-07
EIF3F,3,3.0,-0.7469156459044034,1.0,-1.2930986121678836,-0.4014448533892815,-0.5462034721560453,0.0012066318716176,1.8532739106462195e-08,1.8658024318293113e-05
EIF3L,3,3.0,-1.0755224820747133,1.0,-2.229925088818498,-0.3280123318568826,-0.6686300255487594,3.817799152690796e-11,2.535589119082258e-05,6.72279559799613e-08
EIF4B,3,3.0,-1.0504413917544,1.0,-2.0729162729545703,-0.4647667172324102,-0.6136411850762195,8.344665391484628e-13,9.472171649344344e-12,3.0868479910986597e-07
EIF4ENIF1,3,3.0,0.6476598352714767,1.0,0.4746335764623669,0.6437076988292919,0.8246382305227715,0.0221926996807789,2.1800038521800654e-12,2.0410319237929667e-08
EIF5,3,3.0,0.9859849342147037,1.0,1.4226433594061156,0.3925056974382421,1.1428057457997534,7.542177627895458e-05,3.3191876992298867e-06,1.0356499575701763e-15
EIF5A2,3,3.0,1.6924855798836884,1.0,1.555477623977144,1.6606656420169124,1.8613134736570096,1.1092476331533515e-06,0.005324312724126919,0.036913074388985674
RPL10,3,3.0,-1.0569723632299282,1.0,-2.4499401794467626,-0.2924112971708279,-0.4285656130721941,2.4227543679100055e-05,0.0002736370473150717,0.0005154629096392058
RPL11,3,3.0,-0.7592312108392124,1.0,-1.6220877706998853,-0.2980777014238055,-0.35752816039394647,0.0008897880377771,0.0005534288501542934,0.003619901572633186
RPL13,3,3.0,-0.7672706764653915,1.0,-1.6179962634549554,-0.1879569201082291,-0.49585884583299,0.0017801466233027,0.031075716387653513,0.0005199867479312339
RPL13A,3,3.0,-0.885651789785259,1.0,-1.856025140073757,-0.2633183074820366,-0.5376119217999834,0.0003273673348341,0.0008989584073410175,0.0004516538718363661
RPL13P12,3,3.0,-0.7002488162788363,1.0,-1.3095519360093832,-0.23474631466733803,-0.5564481981597875,0.0440417074391054,0.014441707458505914,0.0007011566889500479
RPL15,3,3.0,-0.8224213017998259,1.0,-1.7292620577997757,-0.27603186077182695,-0.4619699868278749,5.5970225573868234e-05,9.603980123035391e-05,0.0002178740267497018
RPL17,3,3.0,1.1864393224414325,1.0,1.9611105712888413,0.6650654246186262,0.9331419714168302,3.251993369755796e-08,5.4129436581772696e-08,4.3147968224553236e-07
RPL18,3,3.0,-0.7764611192922047,1.0,-1.5960648149559462,-0.29018561457281405,-0.4431329283478539,3.41657375880165e-06,0.0010518899229965838,0.016998553892033898
RPL22,3,3.0,-0.814724798720531,1.0,-1.9316100662101736,-0.17704439356374035,-0.335519936387679,5.765142956390664e-10,0.03486508914225846,0.026707057887825465
RPL28,3,3.0,-1.0966251239450877,1.0,-2.4088305404373793,-0.2830703496136189,-0.597974481784265,5.144703489881536e-08,0.0036382935252631545,0.0005112695063509025
RPL30,3,3.0,-0.6341395571366456,1.0,-1.0448061534562243,-0.2737310474642915,-0.5838814704894211,0.0021385322566802,0.0011121866116140802,5.3581394195651626e-05
RPL31,3,3.0,-0.8060827459582368,1.0,-1.4646685480070374,-0.3912463230613037,-0.5623333668063693,0.0008718722204491,9.113414382114707e-06,8.621859429221084e-06
RPL34,3,3.0,-0.8960265923107343,1.0,-1.8773797993492107,-0.29715831193741093,-0.5135416656455812,1.1242666650342816e-08,0.0012907984516171112,7.69664337390147e-05
