gene_symbol,log2FoldChange,lfcSE,padj,context
TSPAN6,1.9921271802913851,0.7421810483828646,0.0166480202796292,GSE278320 VacV
TNMD,0.7594112375960748,1.535255713029611,0.7178829159487451,GSE278320 VacV
DPM1,0.6586214443815336,0.1569212978035885,0.0001167147424813,GSE278320 VacV
SCYL3,1.3514373291382564,0.2102336676457476,1.5859273782306435e-09,GSE278320 VacV
C1ORF112,1.2602936089240373,0.1920399619919517,6.906949787830402e-10,GSE278320 VacV
CFH,7.28282389043808,1.157445544744224,3.5996690852158613e-09,GSE278320 VacV
FUCA2,1.3784600787837005,0.6468410488117389,0.0628425428860695,GSE278320 VacV
GCLC,0.3924157890436068,0.1514233282019666,0.021212948787649,GSE278320 VacV
NFYA,-0.8579724779543445,0.3361114356472948,0.0234139284244242,GSE278320 VacV
STPG1,-0.8575622900373153,0.3208704310367153,0.0171668005984608,GSE278320 VacV
NIPAL3,-1.9840695315692232,0.2421873059963395,6.775491194872017e-15,GSE278320 VacV
LAS1L,-0.9022890246286592,0.3368850274030439,0.0169047937665177,GSE278320 VacV
ENPP4,1.6284893260342757,0.3794737095580027,7.961360191195958e-05,GSE278320 VacV
SEMA3F,-0.8412831926211204,0.3727312269511811,0.0475832366489232,GSE278320 VacV
CFTR,2.3878245454184697,0.7517894948495365,0.0041072481246262,GSE278320 VacV
ANKIB1,-0.3346068938933342,0.1944640948563704,0.1423720462810284,GSE278320 VacV
CYP51A1,0.1409562141986145,0.3903505843547882,0.7985361654368587,GSE278320 VacV
KRIT1,1.615021681414468,0.3468150566848539,1.7107331275848916e-05,GSE278320 VacV
RAD52,1.1388065220836212,0.4563857874891419,0.0270392291406226,GSE278320 VacV
MYH16,1.3564935935704854,1.184986575751931,0.3530564973099651,GSE278320 VacV
BAD,-1.0019963777461556,0.2981484969996453,0.0022940887973471,GSE278320 VacV
LAP3,-1.568349483459344,0.1640261979018429,5.370231051847894e-20,GSE278320 VacV
CD99,-2.151385769760284,0.2982540366770577,9.654630605563704e-12,GSE278320 VacV
HS3ST1,0.5528307563915507,1.2003147864974075,0.7387253785731185,GSE278320 VacV
HECW1,4.519396175488572,0.8410357708680359,5.725253548721612e-07,GSE278320 VacV
MAD1L1,3.734065801202352,1.2079307917730628,0.0052973473438854,GSE278320 VacV
LASP1,-2.0901125368737516,0.3558113840272328,3.951394697595771e-08,GSE278320 VacV
SNX11,0.3034958638348559,0.2773336293283986,0.3773469647288124,GSE278320 VacV
M6PR,-0.3883347662834231,0.1775921637041105,0.0557050736765593,GSE278320 VacV
KLHL13,-1.6377593185387989,0.3830719380356267,8.512302923994688e-05,GSE278320 VacV
CYP26B1,-0.4710847801458174,0.2651437337943679,0.1284398132667936,GSE278320 VacV
ICA1,-0.3024514725405156,0.5351766153092185,0.6748608733296619,GSE278320 VacV
DBNDD1,-1.4374295724910366,0.5514657239797497,0.0204140971728205,GSE278320 VacV
ALS2,0.4452152420373839,0.2732953830708601,0.1679064462146405,GSE278320 VacV
CASP10,4.235179833556095,0.9485459282241556,3.885605071092311e-05,GSE278320 VacV
CFLAR,0.7530159608312054,0.206663004688186,0.0008963497633731,GSE278320 VacV
TFPI,5.23464613409053,1.2899895190062023,0.0002006371227829,GSE278320 VacV
NDUFAF7,-0.0828377910396938,0.2190654069654642,0.7879094240601258,GSE278320 VacV
RBM5,2.1569989865709993,0.1674867000306693,5.3296649221976296e-36,GSE278320 VacV
MTMR7,0.4944854121755257,0.3259115761928505,0.2031281144409845,GSE278320 VacV
SLC7A2,-1.359149788406184,0.3213433009666573,0.0001024097272037,GSE278320 VacV
ARF5,-1.80018853881803,0.299968769236352,1.9358141841290797e-08,GSE278320 VacV
