gene,full_meta_log2FC,full_meta_p,removed_study,loo_meta_log2FC,loo_meta_p,loo_k,direction_preserved,full_meta_FDR,significance_preserved
DDX1,0.31012077004134214,0.35270812771607307,GSE278320,0.6849359387758983,0.009575935476890946,3,True,0.6289108337835699,True
DDX1,0.31012077004134214,0.35270812771607307,GSE284044,0.3596864158563855,0.3822396367805766,3,True,0.6289108337835699,False
DDX1,0.31012077004134214,0.35270812771607307,GSE287860,0.17777829350340602,0.7799918357922966,3,True,0.6289108337835699,False
DDX1,0.31012077004134214,0.35270812771607307,GSE288000,-0.017971975760888173,0.9667193812054571,3,False,0.6289108337835699,False
DDX10,0.3603247811574711,0.4615622301931397,GSE278320,0.8596498944221777,1.0148317644628313e-17,3,True,0.7084103849483315,True
DDX10,0.3603247811574711,0.4615622301931397,GSE284044,0.24958072778774473,0.6618659781770284,3,True,0.7084103849483315,False
DDX10,0.3603247811574711,0.4615622301931397,GSE287860,0.22342701406705437,0.792120682169347,3,True,0.7084103849483315,False
DDX10,0.3603247811574711,0.4615622301931397,GSE288000,0.11498887016798764,0.876602779746118,3,True,0.7084103849483315,False
DDX11,0.07930535689157395,0.7995763825824592,GSE278320,-0.2887532413889141,0.1770461788937887,3,False,0.9103158346302646,False
DDX11,0.07930535689157395,0.7995763825824592,GSE284044,-0.0403944356683757,0.9073252054126335,3,False,0.9103158346302646,False
DDX11,0.07930535689157395,0.7995763825824592,GSE287860,0.3032178883076231,0.6039801339721488,3,True,0.9103158346302646,False
DDX11,0.07930535689157395,0.7995763825824592,GSE288000,0.3685605783428581,0.47433153782647297,3,True,0.9103158346302646,False
DDX11-AS1,1.2533204790502206,0.0011725959582867158,GSE278320,0.49846667644136544,0.5556995912290628,2,True,0.02106329776922434,False
DDX11-AS1,1.2533204790502206,0.0011725959582867158,GSE284044,1.2533204790502206,0.0011725959582867158,3,True,0.02106329776922434,True
DDX11-AS1,1.2533204790502206,0.0011725959582867158,GSE287860,1.109378018591597,0.09217171749964549,2,True,0.02106329776922434,False
DDX11-AS1,1.2533204790502206,0.0011725959582867158,GSE288000,1.3911796502996976,0.0005853258869706695,2,True,0.02106329776922434,True
DDX12P,0.1555686151518273,0.899683552869068,GSE278320,-0.7023265013577539,4.058865210573582e-06,2,False,0.947547743161107,True
DDX12P,0.1555686151518273,0.899683552869068,GSE284044,0.1555686151518273,0.899683552869068,3,True,0.947547743161107,False
DDX12P,0.1555686151518273,0.899683552869068,GSE287860,0.5324247730858422,0.7858999483210152,2,True,0.947547743161107,False
DDX12P,0.1555686151518273,0.899683552869068,GSE288000,0.7049723154605423,0.6173058705358614,2,True,0.947547743161107,False
DDX17,0.24458868165312841,0.4159562044370423,GSE278320,-0.26228350690244023,0.06931384710876504,3,False,0.6658044856500511,False
DDX17,0.24458868165312841,0.4159562044370423,GSE284044,0.3855822044329957,0.34543558957360676,3,True,0.6658044856500511,False
DDX17,0.24458868165312841,0.4159562044370423,GSE287860,0.5206292814564107,0.3829041934841446,3,True,0.6658044856500511,False
DDX17,0.24458868165312841,0.4159562044370423,GSE288000,0.6141897279042065,0.19119820768429518,3,True,0.6658044856500511,False
DDX18,0.488213769714042,0.10176035544299754,GSE278320,0.8555332502267353,4.0046883876125467e-07,3,True,0.29432940034483657,True
