gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
CHAC1,2,5.462150341363878,0.1142495525526856,0.0,0.9511719244510901,0.0,47.808942961461796,0.0,2,0,1.0,5.392286297688339,0.0,5.639861345131578,4.7351874533205155e-149,0.0,False
HCAR3,2,5.6199931470192634,0.1322623591154069,0.0,0.13504210210446055,0.0,42.49125136287248,0.0,2,0,1.0,5.68811748844384,2.936398974698554e-135,5.585316315978984,7.521781016507518e-256,0.0,False
NFKBIZ,2,3.3335615415132915,0.06891859163976918,0.0,0.026758019213555334,0.0,48.36955402306384,0.0,2,0,1.0,3.3290424112598784,0.0,3.361685204835732,1.3628176235867965e-71,0.0,False
TNFRSF10D,2,2.9531183886026837,0.06284470961846893,0.0,0.00021044907984718475,0.0,46.99072374637587,0.0,2,0,1.0,2.9535637312123733,0.0,2.951252050901384,3.377148299553054e-92,0.0,False
APCDD1,2,4.147882958161968,0.11853566740751892,0.0,0.5476887500201831,0.0,34.9926992345838,2.9053656622552436e-268,2,0,1.0,4.211167091728154,7.773357717317918e-180,4.02628197664832,9.943263034892772e-86,1.0942188157185697e-264,False
TNFSF18,2,4.154968120715036,0.1198090219464297,0.0,0.278836709114072,0.0,34.67992688040514,1.5815938478804707e-263,2,0,1.0,4.167341196276928,2.3357954641501044e-252,3.83148521987495,5.8112865446362774e-09,4.9638322915728576e-260,False
EI24,2,2.2413237735887575,0.06526169778177417,0.0,0.6715212774735497,0.0,34.34363263247342,1.753035348808885e-258,2,0,1.0,2.211601141792205,4.810285987405415e-190,2.337549068786758,7.244207004884634e-66,4.715915521917159e-255,False
EDN1,2,6.403397908378691,0.20125076270549294,0.0,0.1438479740388714,0.0,31.81800566763227,3.6485844671205634e-222,2,0,1.0,6.370189904369489,1.66226068832008e-182,6.578840909085482,2.6755916233095236e-37,8.588311762543417e-219,False
ICAM1,2,2.5965440423202666,0.0824506564904432,0.0,0.5807130069306998,0.0,31.492096641113225,1.1144444160364528e-217,2,0,1.0,2.54869940865321,3.80072701566209e-131,2.679055936253141,3.9432964182406433e-84,2.3317891998202713e-214,False
HCAR2,2,2.9778726392696906,0.0946243820675743,0.0008553737837381537,1.0434869702462597,4.1674665315654975,31.470457975018494,2.20395796123855e-217,2,0,1.0,2.912745100199692,5.198686350430418e-149,3.115353247465968,4.4347232431193575e-78,4.1502732368083145e-214,False
