gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
DDX39A,2,0.8204140048208483,0.06546417110960477,0.0,0.7402683757524104,0.0,12.532259874599998,4.9725277531621e-36,2,0,1.0,0.7910800922135749,1.6647836506446717e-25,0.9285640112504514,4.4534361607219653e-10,3.417433216050931e-34,True
RPS19BP1,2,0.7214047687916308,0.06887414908504166,0.0,0.019257403868523083,0.0,10.474245829170005,1.1343815765262966e-25,2,0,1.0,0.7262881852870207,8.301220413737792e-20,0.7026985303681764,1.56138589087409e-05,4.213321393997375e-24,True
RPS6KC1,2,0.6637258419012204,0.0716850305132966,0.0,0.2748984776774107,0.0,9.258918314586031,2.0651364780693103e-20,2,0,1.0,0.6428927685070118,4.0761111536232495e-14,0.7315330619882309,3.718697358695247e-06,5.371351521895467e-19,True
EIF1AX,2,1.2708037690025535,0.1399036455576415,0.02843429885893666,3.4106912303479957,70.68043008109036,9.083421407192505,1.0521432668588349e-19,2,0,1.0,1.1522510920697306,9.22776373799734e-56,1.4359036262702989,7.6660833187661005e-25,2.589922857283493e-18,True
RPS6KB2,2,0.5595439494466946,0.06724118492206314,0.0,0.5601655105068192,0.0,8.321446894418086,8.689594951387086e-17,2,0,1.0,0.533239681114441,1.5819642449940245e-11,0.6558294417950921,2.7233910638079356e-05,1.7407847077613851e-15,True
EIF4ENIF1,2,0.702094826154795,0.08458698099432126,0.0028082550369432496,1.2071034390056843,17.157058153713788,8.300270536927309,1.0387458182303477e-16,2,0,1.0,0.6437076988292919,2.180003852180066e-12,0.8246382305227715,2.0410319237929667e-08,2.059012895062703e-15,True
RPS6KA5,2,-1.6298711068706984,0.20038907865265407,0.0,0.01565747287679257,0.0,-8.133532614798074,4.169578412266808e-16,0,2,1.0,-1.6101645691711974,1.6743176366057354e-09,-1.66177615738247,1.5470785250867784e-06,7.773993176375867e-15,True
EIF3B,2,0.9219902494784217,0.1157313042001915,0.016884784344708866,2.572162797870711,61.12221198332312,7.966645289709749,1.6303977715062053e-15,2,0,1.0,0.8249236678192462,1.7692783858281191e-25,1.0599752752507925,2.4808777747022736e-16,2.8349049340012326e-14,True
DHX38,2,0.4753424663298567,0.062010187439810946,0.0,0.27863146058315325,0.0,7.665554418638698,1.7806034849834066e-14,2,0,1.0,0.4558908704174739,1.6487303516414891e-09,0.5304233628968107,5.204686173181348e-05,2.780310466477822e-13,True
EIF4B,2,-0.5107848814013983,0.06879867926292786,0.0025680688278207665,1.3016383408919208,23.17374430482966,-7.424341380876399,1.1334248123110831e-13,0,2,1.0,-0.4647667172324102,9.472171649344344e-12,-0.6136411850762195,3.0868479910986597e-07,1.6418094338946159e-12,True
DHX15,2,0.7948810708472807,0.10865865128478906,0.015444848718609313,2.7225496049367965,63.269723417097666,7.315396072457552,2.566233289858874e-13,2,0,1.0,0.7043737216176243,3.0608724449737533e-24,0.9253312784770574,1.4316478895113495e-14,3.590248074393199e-12,True
EIF3F,2,-0.4410789244578081,0.06454853828336192,0.0011316411351148966,1.1210843923229392,10.800649188599147,-6.833290670681244,8.298856089458803e-12,0,2,1.0,-0.40144485338928154,1.8532739106462195e-08,-0.5462034721560453,1.8658024318293113e-05,9.903406782040477e-11,True
RPL22L1,2,0.964633771010613,0.14255823126800227,0.027272329004115334,2.813679537628377,64.45934987881063,6.766594692081654,1.3184875855568383e-11,2,0,1.0,0.8480286600817378,4.4448187554329724e-24,1.138921580012891,9.953012008785824e-13,1.5430975589571674e-10,True
EIF4A3,2,0.7217280609667253,0.10704908384294347,0.011959169219157193,1.83628138378196,45.542115231793915,6.742029310830955,1.5618956252495207e-11,2,0,1.0,0.648011878015901,3.736276467948582e-19,0.8771824794253983,7.284270151290288e-08,1.8155590443872668e-10,True
EIF3E,2,-0.3834903873997439,0.05692435328044096,0.0,0.2493398833036511,0.0,-6.736842235351491,1.61865763416928e-11,0,2,1.0,-0.3950378581582014,8.30204782998934e-10,-0.3135221245878218,0.0743036624588606,1.8780617319187744e-10,True
DDX55,2,0.5640613882355595,0.08405432554784677,0.0,0.8632656421931768,0.0,6.710676512590364,1.937241467972602e-11,2,0,1.0,0.5081331661666331,3.828780674010678e-06,0.6731133740324224,1.4235442178487222e-05,2.2230465620592364e-10,True
