gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,log2fc_GSE287860,padj_GSE287860,log2fc_GSE288000,padj_GSE288000,meta_FDR,is_translation_factor
HCAR3,2,5.6199931470192634,0.1322623591154069,0.0,0.13504210210446055,0.0,42.49125136287248,0.0,2,0,1.0,,,,,5.68811748844384,2.936398974698554e-135,5.585316315978984,7.521781016507518e-256,0.0,False
TNFRSF10D,3,2.9482730404233894,0.06216389967590897,0.0,0.27606754965009483,0.0,47.42741455722999,0.0,3,0,1.0,2.728266456003234,1.454324079025454e-09,,,2.9535637312123733,0.0,2.951252050901384,3.377148299553054e-92,0.0,False
HCAR2,2,2.9778726392696906,0.0946243820675743,0.0008553737837381537,1.0434869702462597,4.1674665315654975,31.470457975018494,2.20395796123855e-217,2,0,1.0,,,,,2.912745100199692,5.198686350430418e-149,3.115353247465968,4.4347232431193575e-78,1.616897025629975e-213,False
FFAR1,2,4.250218016822308,0.13553585952984573,0.0005902922766537253,1.0161727914121266,1.591539504777728,31.358623699777308,7.421972881292343e-216,2,0,1.0,,,,,4.127257478232289,2.408484588955383e-112,4.399615290363408,1.1546080674045111e-104,4.0837550286090795e-212,False
FERMT3,4,1.605819541801645,0.06257344971575533,0.0,1.140729388850442,0.0,25.66295368237172,3.030992543614165e-145,4,0,1.0,2.245224736456898,0.1188169057348532,1.12477313788821,,1.576036982368073,8.745431966364555e-110,1.7186219869245654,4.865248575512178e-33,1.3341822978480832e-141,False
CXCL8,3,2.263767523299873,0.09045798279935677,0.0,0.22840337848146391,0.0,25.02562464079146,3.2172162376797005e-138,3,0,1.0,2.716616502909387,0.1217176182462517,,,2.24611940536508,1.10239577455257e-108,2.3327079469961864,4.555279702078839e-27,1.1801285362515423e-134,False
MACC1,3,3.6489818714293487,0.14622989931292224,0.0,0.19956483909790468,0.0,24.953733050316686,1.9451650663528082e-137,3,0,1.0,4.041027184904532,0.0008409302968456,,,3.614432223602893,1.7966355764520885e-87,3.698142071259877,3.5605891245841436e-45,6.115876849336994e-134,False
SUCNR1,2,3.4162001967495192,0.15001317367021869,0.0,0.5695964549353044,0.0,22.772667980876932,8.557522607548696e-115,2,0,1.0,,,,,3.4552446737647715,6.04798873992182e-103,3.087903535671322,1.5991306193324308e-10,2.3542814383692407e-111,False
DBP,3,-1.8365818610593039,0.0826544680124441,0.0,1.3733694365229907,0.0,-22.219994940658214,2.2009484793284375e-109,0,3,1.0,-1.781704929783398,0.0001000765750508,,,-1.8878142297659335,3.4941985556235193e-87,-1.642299502688061,4.3782497735182436e-17,5.382297231282176e-106,False
NCF2,3,-1.7489882026873023,0.08508508936063654,0.0,1.5094153725073833,0.0,-20.555754431591957,6.835936913360829e-94,0,3,1.0,,,-0.348933799183117,0.999899862550801,-1.73174008500405,1.0056851757824296e-64,-1.8177277793668594,5.531288081103914e-28,1.5045213552615848e-90,False
