gene_symbol,k_studies,pooled_log2FoldChange,pooled_SE,tau2,Q,I2,z,p,n_up,n_down,direction_concordance,log2fc_GSE278320,padj_GSE278320,log2fc_GSE284044,padj_GSE284044,meta_FDR,is_translation_factor
LARP4,2,0.9865970496519669,0.09465914808525115,0.0,0.09553374933841911,0.0,10.422627602389005,1.954767153518024e-25,2,0,1.0,1.0043565344693492,4.566900123756756e-18,0.938396538655619,0.0003447757004,2.3658546859028643e-21,False
EXOSC9,2,1.1702944794602594,0.12370939695641027,0.0,0.8799238647547374,0.0,9.460028973163773,3.078578916111762e-21,2,0,1.0,1.1996196805302035,2.3363166089578344e-19,0.711086445359009,0.975046423995903,1.8630020310850328e-17,False
TRIM71,2,2.077833245339821,0.2225319017669401,0.0,0.3154616565143512,0.0,9.337237622298113,9.888017027565448e-21,2,0,1.0,2.090994118680168,3.901909288551511e-19,0.890844970787933,,3.989155669487487e-17,False
BMF,2,-2.2802554064725866,0.2818545072594678,0.0,0.42083119394980595,0.0,-8.090186063171393,5.957365686316302e-16,0,2,1.0,-2.5200828772500437,4.474028455391197e-07,-2.14085662892184,3.94189777523544e-06,1.802549922537155e-12,False
GNAO1,2,-1.993158256289087,0.2531907855979583,0.0,0.6896485381115224,0.0,-7.872159532116715,3.4857127341100417e-15,0,2,1.0,-2.023149181496915,6.108247358980837e-14,-0.519035166499491,,8.437516244186767e-12,False
UCHL1,2,-1.0264561291030891,0.13792736082292878,0.0,0.14498308370324023,0.0,-7.44200514661376,9.916835831237208e-14,0,2,1.0,-1.0293583304518044,1.8092054621886969e-12,-0.0760906654732138,,2.0003910677577323e-10,False
NOP58,2,1.0160451244858921,0.1385943213743704,0.0,0.015646486036601875,0.0,7.331073267723252,2.283167919691606e-13,2,0,1.0,0.999464731128272,1.2832478698987464e-06,1.03417157875975,0.0003447757004,3.947597333146787e-10,False
SHISA2,2,-2.0201168777807346,0.2775875758606817,0.0,0.44457357486282734,0.0,-7.277403794161919,3.4030551991790146e-13,0,2,1.0,-2.066220666140419,9.038877944039044e-12,-1.27708562590915,0.999899862550801,5.148397134457952e-10,False
GAD1,2,2.0800743185630512,0.2877999414576133,0.0,0.19524729214218112,0.0,7.227500839743573,4.919631017622992e-13,2,0,1.0,2.101525967988404,1.0506903494154162e-11,1.32618822703864,,6.615810467365676e-10,False
GNAL,2,-1.5472871602361031,0.21522746838948187,0.0,0.8551627411799181,0.0,-7.189078475039661,6.523007631414808e-13,0,2,1.0,-1.5729616981914236,7.575201352798278e-12,-0.0043738389123443,,7.894796136301342e-10,False
ZNF544,2,2.060544623507649,0.29537077672806644,0.0,0.39722369376056843,0.0,6.976128939812799,3.0342427225447625e-12,2,0,1.0,2.0844105106245276,4.094252344326138e-11,0.608457703120001,,2.997288889601729e-09,False
BEND4,2,1.659804333179572,0.23799646648168807,0.0,0.44940345898584105,0.0,6.974071328522353,3.0789784731067255e-12,2,0,1.0,1.6783298515616585,3.9564220777726505e-11,0.28574002171868,,2.997288889601729e-09,False
MCAM,2,-1.7062700436855336,0.24487942362808301,0.0006117149679842738,1.0009153244633395,0.09144874106411527,-6.9677967156480065,3.2194295269621147e-12,0,2,1.0,-1.760673590992308,2.8543995065066384e-11,-0.604026989969158,,2.997288889601729e-09,False
EFHD1,2,-2.311916587029552,0.3330254456807771,0.0,0.700014300047151,0.0,-6.942161978954753,3.8614408458223605e-12,0,2,1.0,-2.385133868353978,6.590335048364189e-11,-1.2515692511883,,3.3382156112134307e-09,False
BMP7,2,-2.4053052413464364,0.3477818431944121,0.0,0.5554666191448282,0.0,-6.916132306544412,4.641409445946773e-12,0,2,1.0,-2.4484879012735057,5.863052122083384e-11,-0.849474370033942,,3.744998568286253e-09,False
CRMP1,2,-1.3703113627851062,0.20010051779905375,0.0,0.8013848037650556,0.0,-6.84811502667479,7.482938930177356e-12,0,2,1.0,-1.3954768273117366,7.568125138117861e-11,-0.0952456238487482,,5.660375616996034e-09,False
CDC42EP3,2,1.079271113291559,0.16008398841243807,0.0,0.2237710256782536,0.0,6.741905445977149,1.56322807402857e-11,2,0,1.0,1.0238147582643211,1.656593306184268e-06,1.18267772861026,0.0043453364037335,1.1129264341157518e-08,False
RADIL,2,-2.314465382297591,0.3531300614582175,0.0,0.7799229174757601,0.0,-6.554144308021308,5.5961830988472996e-11,0,2,1.0,-2.3689701427702152,5.200899097287362e-10,-0.530088341844743,,3.762811335852715e-08,False
IGFBP5,2,-2.5607577023058026,0.3936424687796756,0.0,0.5954827828490887,0.0,-6.505288187639826,7.754457507454038e-11,0,2,1.0,-2.6054794906521788,7.568035640225343e-10,-0.49749778571175407,,4.9395894322482225e-08,False
ZIC5,2,1.6978440051878125,0.2658511779813952,0.0,0.18229149251783539,0.0,6.386445296498295,1.6978613019304247e-10,2,0,1.0,1.7290562600044688,4.0857688762031934e-09,1.28506420648037,,9.887452928092283e-08,False
DUSP9,2,-1.8028949956460185,0.2823704651444783,0.0,0.7950081596613966,0.0,-6.384856839484064,1.715578877054763e-10,1,1,0.5,-1.8374643859889144,1.4180719756013575e-09,0.030763285190731,,9.887452928092283e-08,False
