,infected,study,virus
GSE278320::GSM8544817,0,GSE278320,Vaccinia
GSE278320::GSM8544823,0,GSE278320,Vaccinia
GSE278320::GSM8544828,0,GSE278320,Vaccinia
GSE278320::GSM8544820,1,GSE278320,Vaccinia
GSE278320::GSM8544826,1,GSE278320,Vaccinia
GSE278320::GSM8544830,1,GSE278320,Vaccinia
GSE278320::GSM8544836,1,GSE278320,Vaccinia
GSE278320::GSM8544842,1,GSE278320,Vaccinia
GSE278320::GSM8544848,1,GSE278320,Vaccinia
GSE287860::cherry_rep1,0,GSE287860,Myxoma
GSE287860::m3_rep1,1,GSE287860,Myxoma
GSE287860::cherry_rep2,0,GSE287860,Myxoma
GSE287860::m3_rep2,1,GSE287860,Myxoma
GSE287860::cherry_rep3,0,GSE287860,Myxoma
GSE287860::m3_rep3,1,GSE287860,Myxoma
GSE288000::NTC_cherry_rep1,0,GSE288000,Myxoma
GSE288000::NTC_M003_rep1,1,GSE288000,Myxoma
GSE288000::N4BP1_cherry_rep1,0,GSE288000,Myxoma
GSE288000::N4BP1_M003_rep1,1,GSE288000,Myxoma
GSE288000::ZC3H12A_cherry_rep1,0,GSE288000,Myxoma
GSE288000::ZC3H12A_M003_rep1,1,GSE288000,Myxoma
GSE288000::TRIM25_cherry_rep1,0,GSE288000,Myxoma
GSE288000::TRIM25_M003_rep1,1,GSE288000,Myxoma
GSE288000::ZC3H12A_N4BP1_cherry_rep1,0,GSE288000,Myxoma
GSE288000::ZC3H12A_N4BP1_M003_rep1,1,GSE288000,Myxoma
GSE288000::NTC_cherry_rep2,0,GSE288000,Myxoma
GSE288000::NTC_M003_rep2,1,GSE288000,Myxoma
GSE288000::N4BP1_cherry_rep2,0,GSE288000,Myxoma
GSE288000::N4BP1_M003_rep2,1,GSE288000,Myxoma
GSE288000::ZC3H12A_cherry_rep2,0,GSE288000,Myxoma
GSE288000::ZC3H12A_M003_rep2,1,GSE288000,Myxoma
GSE288000::TRIM25_cherry_rep2,0,GSE288000,Myxoma
GSE288000::TRIM25_M003_rep2,1,GSE288000,Myxoma
GSE288000::ZC3H12A_N4BP1_cherry_rep2,0,GSE288000,Myxoma
GSE288000::ZC3H12A_N4BP1_M003_rep2,1,GSE288000,Myxoma
GSE288000::NTC_cherry_rep3,0,GSE288000,Myxoma
GSE288000::NTC_M003_rep3,1,GSE288000,Myxoma
GSE288000::N4BP1_cherry_rep3,0,GSE288000,Myxoma
GSE288000::N4BP1_M003_rep3,1,GSE288000,Myxoma
GSE288000::ZC3H12A_cherry_rep3,0,GSE288000,Myxoma
GSE288000::ZC3H12A_M003_rep3,1,GSE288000,Myxoma
GSE288000::TRIM25_cherry_rep3,0,GSE288000,Myxoma
GSE288000::TRIM25_M003_rep3,1,GSE288000,Myxoma
GSE288000::ZC3H12A_N4BP1_cherry_rep3,0,GSE288000,Myxoma
GSE288000::ZC3H12A_N4BP1_M003_rep3,1,GSE288000,Myxoma
