gene_id,gene_symbol,strict_total_count
ENSG00000000003.15,TSPAN6,33
ENSG00000000419.14,DPM1,1598
ENSG00000000457.14,SCYL3,568
ENSG00000000460.17,C1orf112,943
ENSG00000000971.16,CFH,33
ENSG00000001036.14,FUCA2,53
ENSG00000001084.13,GCLC,1716
ENSG00000001167.15,NFYA,726
ENSG00000001460.18,STPG1,572
ENSG00000001461.17,NIPAL3,1449
ENSG00000001497.18,LAS1L,2585
ENSG00000001561.7,ENPP4,342
ENSG00000001617.12,SEMA3F,323
ENSG00000001626.17,CFTR,37
ENSG00000001629.10,ANKIB1,1348
ENSG00000001630.18,CYP51A1,201
ENSG00000001631.17,KRIT1,245
ENSG00000002016.18,RAD52,262
ENSG00000002330.14,BAD,660
ENSG00000002549.13,LAP3,4286
ENSG00000002586.20,CD99,2914
ENSG00000002587.10,HS3ST1,12
ENSG00000002746.15,HECW1,20
ENSG00000002822.16,MAD1L1,10
ENSG00000002834.18,LASP1,2519
ENSG00000002919.15,SNX11,474
ENSG00000003056.8,M6PR,2014
ENSG00000003096.14,KLHL13,1105
ENSG00000003137.9,CYP26B1,705
ENSG00000003147.19,ICA1,126
ENSG00000003249.15,DBNDD1,973
ENSG00000003393.16,ALS2,1190
ENSG00000003400.15,CASP10,14
ENSG00000003402.21,CFLAR,1087
ENSG00000003509.16,NDUFAF7,738
ENSG00000003756.17,RBM5,3000
ENSG00000003987.14,MTMR7,543
ENSG00000003989.18,SLC7A2,1739
ENSG00000004059.11,ARF5,1928
ENSG00000004139.14,SARM1,1000
ENSG00000004142.12,POLDIP2,3658
ENSG00000004399.13,PLXND1,1993
ENSG00000004455.17,AK2,5340
ENSG00000004468.13,CD38,10
ENSG00000004478.8,FKBP4,9254
ENSG00000004487.18,KDM1A,6812
ENSG00000004534.15,RBM6,1864
ENSG00000004660.15,CAMKK1,252
ENSG00000004700.16,RECQL,1769
ENSG00000004766.17,VPS50,456
ENSG00000004776.13,HSPB6,76
ENSG00000004777.19,ARHGAP33,575
ENSG00000004779.10,NDUFAB1,1995
ENSG00000004838.14,ZMYND10,40
ENSG00000004848.8,ARX,564
ENSG00000004864.14,SLC25A13,960
ENSG00000004866.22,ST7,409
ENSG00000004897.12,CDC27,2616
ENSG00000004961.15,HCCS,751
ENSG00000004975.12,DVL2,1655
ENSG00000005007.13,UPF1,3419
ENSG00000005020.13,SKAP2,1119
ENSG00000005022.6,SLC25A5,14724
ENSG00000005059.16,MCUB,1143
ENSG00000005073.6,HOXA11,739
ENSG00000005075.16,POLR2J,722
ENSG00000005100.13,DHX33,2012
ENSG00000005108.17,THSD7A,36
ENSG00000005156.12,LIG3,2041
ENSG00000005175.10,RPAP3,1443
ENSG00000005187.12,ACSM3,293
ENSG00000005189.20,REXO5,705
