gene_symbol,n_contexts,mean_log2fc,direction_consistency,n_positive_contexts,n_negative_contexts,pooled_log2fc_meta,meta_FDR,meta_k_studies,log2fc_GSE185520_D9muD10mu_18hr,log2fc_GSE185520_WT_18hr,log2fc_GSE185520_WT_6hr,log2fc_GSE278320_VacV,log2fc_GSE284044_6hpi,log2fc_GSE287860_M003,log2fc_GSE288000_NTC,meta_sig,evidence_score
EIF4B,7,-0.967963848385713,1.0,0,7,-0.8402821145945343,0.0053525017848617,4,-0.6862176270076172,-2.419082091483912,-0.15630336346118362,-2.0729162729545703,-0.362819681484079,-0.4647667172324102,-0.6136411850762195,True,10.920141057297267
EIF3L,7,-1.0032081860170157,1.0,0,7,-0.7935812728345537,0.0324556137642853,4,-0.9086597147556772,-2.695655026928217,-0.11485207129827539,-2.229925088818498,-0.0767230429128001,-0.3280123318568826,-0.6686300255487594,True,10.896790636417277
RPS27,7,-1.0637297418151748,1.0,0,7,-0.7854233946523447,0.0040907641617138,4,-1.5894586026379902,-2.278279211395206,-0.189573216828102,-1.3077240503458296,-0.538609046948866,-0.4463984932376083,-1.0960655713126202,True,10.892711697326172
RPS4X,7,-1.0635999088331298,1.0,0,7,-0.7452365861082717,0.0337031136184205,4,-1.2220419107653522,-2.8123043657000752,-0.09258835517258267,-2.0775528781919763,-0.333776993268066,-0.2256782267436528,-0.6812566319902036,True,10.872618293054137
RPL34,7,-1.117337920904613,1.0,0,7,-0.650900452348189,0.0329698088399264,4,-1.977276562832798,-2.7936199989761623,-0.18108829080206298,-1.8773797993492107,-0.181300816789064,-0.2971583119374109,-0.5135416656455812,True,10.825450226174095
RPS9,7,-1.0142760126850952,1.0,0,7,-0.6264093051955529,0.0354297669283558,4,-1.1350439886209651,-2.8708158311975374,-0.15334214679696137,-1.8235420518412873,-0.435971176765637,-0.2518009740808122,-0.4294159194924659,True,10.813204652597776
RPL18,7,-1.0241023184543983,1.0,0,7,-0.6048853793532433,0.0418441308701614,4,-1.4817980474985601,-2.8167814037506345,-0.2269406113559665,-1.5960648149559462,-0.313812808699011,-0.290185614572814,-0.4431329283478539,True,10.80244268967662
RPS28,7,-1.0702191372319512,1.0,0,7,-0.5956677907502363,0.043635325223246,4,-1.8419855001016154,-2.452398682839653,-0.24006128156623008,-1.8076062173018952,-0.455686442855079,-0.2560194755129792,-0.4377763604462062,True,10.797833895375119
RPL15,7,-0.9772439967442429,1.0,0,7,-0.5285724053062304,0.0163467578677261,4,-0.9488634131864219,-2.8853576513025856,-0.2277495317169765,-1.7292620577997757,-0.311473475604238,-0.2760318607718269,-0.4619699868278749,True,10.764286202653116
RPL31,7,-1.0259186952556107,1.0,0,7,-0.5245339866196684,0.0026680773207421,4,-1.8014370680334775,-2.598543061966364,-0.17790754796618516,-1.4646685480070374,-0.185294950948538,-0.3912463230613037,-0.5623333668063693,True,10.762266993309835
