gene_symbol,log2fc,context
TSPAN6,1.9921271802913851,GSE278320 VacV
TNMD,0.7594112375960748,GSE278320 VacV
DPM1,0.6586214443815336,GSE278320 VacV
SCYL3,1.3514373291382564,GSE278320 VacV
C1ORF112,1.2602936089240373,GSE278320 VacV
CFH,7.28282389043808,GSE278320 VacV
FUCA2,1.3784600787837005,GSE278320 VacV
GCLC,0.3924157890436068,GSE278320 VacV
NFYA,-0.8579724779543445,GSE278320 VacV
STPG1,-0.8575622900373153,GSE278320 VacV
NIPAL3,-1.9840695315692232,GSE278320 VacV
LAS1L,-0.9022890246286592,GSE278320 VacV
ENPP4,1.6284893260342757,GSE278320 VacV
SEMA3F,-0.8412831926211204,GSE278320 VacV
CFTR,2.3878245454184697,GSE278320 VacV
ANKIB1,-0.3346068938933342,GSE278320 VacV
CYP51A1,0.1409562141986145,GSE278320 VacV
KRIT1,1.615021681414468,GSE278320 VacV
RAD52,1.1388065220836212,GSE278320 VacV
MYH16,1.3564935935704854,GSE278320 VacV
BAD,-1.0019963777461556,GSE278320 VacV
LAP3,-1.568349483459344,GSE278320 VacV
CD99,-2.151385769760284,GSE278320 VacV
HS3ST1,0.5528307563915507,GSE278320 VacV
HECW1,4.519396175488572,GSE278320 VacV
MAD1L1,3.734065801202352,GSE278320 VacV
LASP1,-2.0901125368737516,GSE278320 VacV
SNX11,0.3034958638348559,GSE278320 VacV
M6PR,-0.3883347662834231,GSE278320 VacV
KLHL13,-1.6377593185387989,GSE278320 VacV
CYP26B1,-0.4710847801458174,GSE278320 VacV
ICA1,-0.3024514725405156,GSE278320 VacV
DBNDD1,-1.4374295724910366,GSE278320 VacV
ALS2,0.4452152420373839,GSE278320 VacV
CASP10,4.235179833556095,GSE278320 VacV
CFLAR,0.7530159608312054,GSE278320 VacV
TFPI,5.23464613409053,GSE278320 VacV
NDUFAF7,-0.0828377910396938,GSE278320 VacV
RBM5,2.1569989865709993,GSE278320 VacV
MTMR7,0.4944854121755257,GSE278320 VacV
SLC7A2,-1.359149788406184,GSE278320 VacV
ARF5,-1.80018853881803,GSE278320 VacV
SARM1,-0.0752468208610011,GSE278320 VacV
POLDIP2,-1.4248183233189544,GSE278320 VacV
PLXND1,-1.0410866936157268,GSE278320 VacV
AK2,0.0031073303697606,GSE278320 VacV
CD38,1.1137204881447833,GSE278320 VacV
FKBP4,-0.4979582797031199,GSE278320 VacV
KDM1A,-0.9010015077007012,GSE278320 VacV
RBM6,1.329754739382589,GSE278320 VacV
CAMKK1,-1.9580459725154944,GSE278320 VacV
RECQL,0.0950018215000915,GSE278320 VacV
VPS50,0.0773557066041409,GSE278320 VacV
HSPB6,-1.1594152514967873,GSE278320 VacV
ARHGAP33,1.1238594082700917,GSE278320 VacV
NDUFAB1,-1.8020305901766291,GSE278320 VacV
ZMYND10,2.134603599646445,GSE278320 VacV
ARX,-1.8707215374390824,GSE278320 VacV
SLC25A13,-1.1602114422534753,GSE278320 VacV
ST7,-0.1674875813804137,GSE278320 VacV
CDC27,-0.2244638152965427,GSE278320 VacV
HCCS,0.6602808994184413,GSE278320 VacV
DVL2,-0.6989253331619083,GSE278320 VacV
UPF1,0.0708193015344001,GSE278320 VacV
