gene,module,meta_FDR,pooled_log2FC,k_studies,direction_concordance,het_class,loso_robust,ml_importance,degree_centrality,external_support_GSE185520,s_meta,s_concord,s_loso,s_ml,s_net,s_module,s_external,final_evidence_score,evidence_tier
DHX15,DHX/DDX helicase,3.559513728282982e-19,0.7463721929341723,4,1.0,II_conserved_high_het,True,0.2599233907952249,0.0,0.3333333333333333,1.0,1.0,1.0,0.3898850861928374,0.0,1.0,0.3333333333333333,7.113103505719008,Tier 1 (triangulated)
EIF2B5,other eIF,8.656391611664414e-13,0.5169795464932119,4,1.0,I_conserved_low_het,True,0.4091380469954528,0.0,0.6666666666666666,0.6538423770044125,1.0,1.0,0.6137070704931793,0.0,1.0,0.6666666666666666,7.028686750164057,Tier 1 (triangulated)
EIF4B,eIF4/initiation,0.0053525017848617,-0.8402821145945343,4,1.0,II_conserved_high_het,True,0.4155217641304198,0.15384615384615385,1.0,0.12309794273150057,1.0,1.0,0.6232826461956298,0.1818181818181818,1.0,1.0,6.327037421947284,Tier 1 (triangulated)
RPS4X,40S ribosomal,0.0337031136184205,-0.7452365861082717,4,1.0,II_conserved_high_het,True,0.0,0.8461538461538463,1.0,0.07978108452196428,1.0,1.0,0.0,1.0,1.0,1.0,6.199452711304911,Tier 1 (triangulated)
RPS9,40S ribosomal,0.0354297669283558,-0.6264093051955529,4,1.0,II_conserved_high_het,True,0.0,0.8461538461538463,1.0,0.07860490457600351,1.0,1.0,0.0,1.0,1.0,1.0,6.1965122614400086,Tier 1 (triangulated)
RPS28,40S ribosomal,0.043635325223246,-0.5956677907502363,4,1.0,II_conserved_high_het,True,0.0,0.8461538461538463,1.0,0.07370087751439286,1.0,1.0,0.0,1.0,1.0,1.0,6.184252193785982,Tier 1 (triangulated)
RPS23,40S ribosomal,0.0590587209253219,-0.5123444838119572,4,1.0,II_conserved_high_het,True,0.0,0.8461538461538463,1.0,0.06657570437391011,1.0,1.0,0.0,1.0,1.0,1.0,6.166439260934776,Tier 2 (corroborated)
RPS25,40S ribosomal,0.0869691985677428,-0.4600657811832493,4,1.0,II_conserved_high_het,True,0.0,0.8461538461538463,1.0,0.05746465542006674,1.0,1.0,0.0,1.0,1.0,1.0,6.143661638550167,Tier 2 (corroborated)
RPL31,60S ribosomal,0.0026680773207421,-0.5245339866196684,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,1.0,0.13948763106839981,1.0,1.0,0.0,0.818181818181818,1.0,1.0,6.075991804943726,Tier 1 (triangulated)
RPL30,60S ribosomal,0.0084842736434697,-0.44577759349698,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,1.0,0.11225357508150907,1.0,1.0,0.0,0.818181818181818,1.0,1.0,6.0079066649765,Tier 1 (triangulated)
RPL10,60S ribosomal,0.0150803981202139,-0.5060943583330317,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,1.0,0.09871297714752005,1.0,1.0,0.0,0.818181818181818,1.0,1.0,5.974055170141527,Tier 1 (triangulated)
RPL15,60S ribosomal,0.0163467578677261,-0.5285724053062304,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,1.0,0.096814741234382,1.0,1.0,0.0,0.818181818181818,1.0,1.0,5.969309580358682,Tier 1 (triangulated)
RPL11,60S ribosomal,0.0214628586244745,-0.41217864154337,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,1.0,0.0904045410907331,1.0,1.0,0.0,0.818181818181818,1.0,1.0,5.95328407999956,Tier 1 (triangulated)
RPL13A,60S ribosomal,0.0259957653793048,-0.5153588618947951,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,1.0,0.08589377311035312,1.0,1.0,0.0,0.818181818181818,1.0,1.0,5.942007160048609,Tier 1 (triangulated)
EIF2D,other eIF,0.010231568348861,-0.3671477339915392,4,1.0,II_conserved_high_het,True,0.3900435877889464,0.0,1.0,0.10784512130304146,1.0,1.0,0.5850653816834196,0.0,1.0,1.0,5.9397435666244425,Tier 1 (triangulated)
RPL34,60S ribosomal,0.0329698088399264,-0.650900452348189,4,1.0,II_conserved_high_het,True,0.0,0.6923076923076923,1.0,0.08029894824105889,1.0,1.0,0.0,0.818181818181818,1.0,1.0,5.928020097875374,Tier 1 (triangulated)
