gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation_direction
ENSG00000241112.1,RPL29P14,6.138369763931414,8.353438842402436,2.0199036649334796,4.135562991157569,3.540854672546797e-05,0.0001480844494884,upregulated
ENSG00000237139.1,RPS26P41,5.6554357456718,8.20526615051673,2.187550966495171,3.7508914197610506,0.0001762069984826,0.0006146952394283,upregulated
ENSG00000239210.2,RPS26P55,8.605784515435715,7.934741018018632,1.8546209144930617,4.278362740337961,1.8827303020288628e-05,8.405803047543397e-05,upregulated
ENSG00000237382.2,RPL21P121,3.317187666846033,7.571864946394183,2.197234951204529,3.4460879762736667,0.000568765162041,0.001741020096016,upregulated
ENSG00000228000.1,RPL7AP65,6.757151234077032,7.516041001424902,1.5803357710298882,4.7559772671137965,1.9748869386731513e-06,1.09901592720527e-05,upregulated
ENSG00000260282.1,EIF4EBP2P2,3.1330322485394517,7.369811563782932,2.2890424596798473,3.219604569857432,0.0012836753301033,0.0035948843027162,upregulated
ENSG00000241458.1,RPL7P19,46.74033970412984,5.6352192759530695,1.6983188541599423,3.3181161842194102,0.0009062677914298,0.0026298164623584,upregulated
ENSG00000224463.1,RPL39P14,2.7892936909147954,5.433173215543023,1.2275382830064552,4.426072319501299,9.59643628574564e-06,4.572055949494865e-05,upregulated
ENSG00000243742.5,RPLP0P2,2.868327916363272,4.863879338743115,1.1705203531250248,4.155313767725317,3.248414447102403e-05,0.0001370896267246,upregulated
ENSG00000243431.1,RPL5P30,5.016099385149399,4.163690195041129,0.7146571453208309,5.826136661898096,5.672517022919795e-09,5.1399084449472676e-08,upregulated
